ea_event_date,device_local_time,broker_server_time,m10_closed_bar_time,latest_bid_ask_time,symbol,spread,candidate_direction,candidate_confidence,candidate_freshness,thesis_action,execution_readiness,exact_blocker_or_reason,hourly_advisory_state,database_record,notification_eligibility,notification_result,frontend_state,ea_runtime,evidence_id,source_log,source_line
20260720,00:00:00.071,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,49.4,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=45.9 sellCaseScore=45.3 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)",8,20260720.log,7
20260720,00:10:00.349,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,47.5,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=40.5 sellCaseScore=43.0 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)",9,20260720.log,587
20260720,00:20:00.343,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,45.7,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,NO_VALID_SIGNAL,NOT_PROVEN_BY_ANALYSIS_EVENT,neither case cleared the 55.0 bar (buy=34.9 sell=45.7),NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)",10,20260720.log,887
20260720,00:29:59.784,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,45.1,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=40.0 sellCaseScore=35.1 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)",11,20260720.log,1083
20260720,00:39:59.826,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,59.4,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=59.4 vs opposite=39.5), location=LOCATION_RESET_CONFIRMED acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",12,20260720.log,1358
20260720,00:49:59.852,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,57.8,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=57.8 vs opposite=33.9), location=LOCATION_RESET_CONFIRMED acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",13,20260720.log,1986
20260720,00:59:59.830,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,58.0,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=58.0 vs opposite=41.7), location=LOCATION_RESET_CONFIRMED acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",14,20260720.log,2886
20260720,01:09:59.870,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,61.8,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=61.8 vs opposite=34.5), location=LOCATION_RESET_CONFIRMED acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",15,20260720.log,3654
20260720,01:19:59.841,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,57.5,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=57.5 vs opposite=38.4), location=LOCATION_RESET_CONFIRMED acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",16,20260720.log,5062
20260720,01:29:59.834,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,BUY,55.5,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,BUY_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=55.5 vs opposite=35.1), location=LOCATION_RESET_CONFIRMED acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",17,20260720.log,5807
20260720,01:39:59.811,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,47.2,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=48.8 sellCaseScore=51.6 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",18,20260720.log,6843
20260720,01:49:59.880,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,49.2,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=55.6 sellCaseScore=54.8 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",19,20260720.log,7661
20260720,01:59:59.850,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,43.5,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=54.1 sellCaseScore=47.6 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",20,20260720.log,8159
20260720,02:00:30.708,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,BUY,57.9,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,BUY_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=57.9 vs opposite=47.6), location=LOCATION_RESET_CONFIRMED acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",20,20260720.log,9130
20260720,02:09:59.891,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,49.5,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,NO_VALID_SIGNAL,NOT_PROVEN_BY_ANALYSIS_EVENT,neither case cleared the 55.0 bar (buy=38.8 sell=49.5),NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",21,20260720.log,9206
20260720,02:19:59.947,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,59.2,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=59.2 vs opposite=38.6), location=LOCATION_EXCELLENT acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",22,20260720.log,10052
20260720,02:29:59.798,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,55.9,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=55.9 vs opposite=37.4), location=LOCATION_EXCELLENT acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",23,20260720.log,10929
20260720,02:39:59.775,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,56.6,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=56.6 vs opposite=34.9), location=LOCATION_EXCELLENT acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",24,20260720.log,12425
20260720,02:49:59.956,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,68.8,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=68.8 vs opposite=34.7), location=LOCATION_EXCELLENT acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",25,20260720.log,15497
20260720,02:59:59.988,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,67.8,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=67.8 vs opposite=34.3), location=LOCATION_EXCELLENT acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",26,20260720.log,19239
20260720,03:10:00.361,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,40.4,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=52.2 sellCaseScore=61.8 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",27,20260720.log,23062
20260720,03:20:00.056,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,54.6,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TREND_CONTINUATION_NO_ENTRY_YET,NOT_PROVEN_BY_ANALYSIS_EVENT,neither case cleared the 55.0 bar (buy=35.4 sell=54.6),NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",28,20260720.log,26217
20260720,03:29:59.953,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,SELL,56.2,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,SELL_CANDIDATE,NOT_PROVEN_BY_ANALYSIS_EVENT,"dominant case wins (score=56.2 vs opposite=44.1), location=LOCATION_EXCELLENT acceptable-or-better",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",29,20260720.log,29257
20260720,03:39:59.988,NOT_LOGGED_IN_EVENT,2026.07.20,NOT_LOGGED_IN_EVENT,XAUUSD,NOT_LOGGED_IN_EVENT,NONE,46.8,FRESHNESS_RECORDED_IN_ADJACENT_M10_EVIDENCE_EVENT,TRANSITION_WATCH,NOT_PROVEN_BY_ANALYSIS_EVENT,"buyCaseScore=54.6 sellCaseScore=57.8 -- too close to call, evidence conflicted",NOT_PRESENT_IN_MT5_LOG,UNVERIFIED_NO_PRODUCTION_DB_ACCESS,REQUIRES_EXPLICIT_EXECUTION_READY_EVENT,UNVERIFIED_NO_PRODUCTION_NOTIFICATION_LOG,UNVERIFIED_NO_AUTHENTICATED_OWNER_SESSION,"XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)",30,20260720.log,33031
