log_date	device_time	source_line	runtime	event_type	message
20260720	00:00:00.071	6	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_FRESHNESS	M10_FRESHNESS | currentTime=2026.07.20 02:00:00 evaluatedBarOpen=2026.07.20 01:50:00 evaluatedBarClose=2026.07.20 02:00:00 latestClosedBarOpen=2026.07.20 01:50:00 previousClosedBarOpen=2026.07.20 01:40:00 evaluatedShift=1 openAgeSeconds=600 closeAgeSeconds=0 freshnessState=FRESH dataState=COMPLETE staleCause= continuationEntryPaused=false
20260720	00:00:00.071	7	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_SIGNAL_ANALYSIS	M10_SIGNAL_ANALYSIS | evidenceId=8 barTime=2026.07.20 01:50 trendState=TREND_CONTINUING buyPressure=35.0 buySlope=-9.4 sellPressure=45.4 sellSlope=21.3 buyCaseScore=45.9 sellCaseScore=45.3 continuationScore=35.0 exhaustionScore=59.9 exhaustionPct=59.9 structure=STRUCTURE_MIXED location=LOCATION_RESET_CONFIRMED buyRoomR=1.64 sellRoomR=1.98 preferredDirection=NONE decision=TRANSITION_WATCH confidence=49.4 reason=buyCaseScore=45.9 sellCaseScore=45.3 -- too close to call, evidence conflicted
20260720	00:00:00.071	8	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_EVIDENCE_STORED	M10_EVIDENCE_STORED | barOpen=2026.07.20 01:50:00 barClose=2026.07.20 02:00:00 evidenceId=8 buyCaseScore=45.93 sellCaseScore=45.33 preferredDirection=NONE decision=TRANSITION_WATCH location=LOCATION_RESET_CONFIRMED structure=STRUCTURE_MIXED freshness=FRESH dataState=COMPLETE
20260720	00:00:30.465	450	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=SELL proposedSetup=TREND_PULLBACK m10Decision=TRANSITION_WATCH m10PreferredDirection=NONE m10Reason=buyCaseScore=45.9 sellCaseScore=45.3 -- too close to call, evidence conflicted -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260720	00:08:01.746	565	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=SELL proposedSetup=TREND_PULLBACK m10Decision=TRANSITION_WATCH m10PreferredDirection=NONE m10Reason=buyCaseScore=45.9 sellCaseScore=45.3 -- too close to call, evidence conflicted -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260720	00:10:00.349	586	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_FRESHNESS	M10_FRESHNESS | currentTime=2026.07.20 02:10:00 evaluatedBarOpen=2026.07.20 02:00:00 evaluatedBarClose=2026.07.20 02:10:00 latestClosedBarOpen=2026.07.20 02:00:00 previousClosedBarOpen=2026.07.20 01:50:00 evaluatedShift=1 openAgeSeconds=600 closeAgeSeconds=0 freshnessState=FRESH dataState=COMPLETE staleCause= continuationEntryPaused=false
20260720	00:10:00.349	587	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_SIGNAL_ANALYSIS	M10_SIGNAL_ANALYSIS | evidenceId=9 barTime=2026.07.20 02:00 trendState=TREND_STALLING buyPressure=23.4 buySlope=-11.6 sellPressure=42.2 sellSlope=-3.2 buyCaseScore=40.5 sellCaseScore=43.0 continuationScore=23.4 exhaustionScore=63.4 exhaustionPct=63.4 structure=STRUCTURE_MIXED location=LOCATION_RESET_CONFIRMED buyRoomR=1.67 sellRoomR=1.74 preferredDirection=NONE decision=TRANSITION_WATCH confidence=47.5 reason=buyCaseScore=40.5 sellCaseScore=43.0 -- too close to call, evidence conflicted
20260720	00:10:00.349	588	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_EVIDENCE_STORED	M10_EVIDENCE_STORED | barOpen=2026.07.20 02:00:00 barClose=2026.07.20 02:10:00 evidenceId=9 buyCaseScore=40.52 sellCaseScore=42.99 preferredDirection=NONE decision=TRANSITION_WATCH location=LOCATION_RESET_CONFIRMED structure=STRUCTURE_MIXED freshness=FRESH dataState=COMPLETE
20260720	00:10:01.032	595	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=SELL proposedSetup=TREND_PULLBACK m10Decision=TRANSITION_WATCH m10PreferredDirection=NONE m10Reason=buyCaseScore=40.5 sellCaseScore=43.0 -- too close to call, evidence conflicted -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260720	00:10:06.049	596	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=PRIMARY_DECISION response=
20260720	00:17:38.645	864	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=SELL proposedSetup=TREND_PULLBACK m10Decision=TRANSITION_WATCH m10PreferredDirection=NONE m10Reason=buyCaseScore=40.5 sellCaseScore=43.0 -- too close to call, evidence conflicted -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260720	00:20:00.342	886	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_FRESHNESS	M10_FRESHNESS | currentTime=2026.07.20 02:20:00 evaluatedBarOpen=2026.07.20 02:10:00 evaluatedBarClose=2026.07.20 02:20:00 latestClosedBarOpen=2026.07.20 02:10:00 previousClosedBarOpen=2026.07.20 02:00:00 evaluatedShift=1 openAgeSeconds=600 closeAgeSeconds=0 freshnessState=FRESH dataState=COMPLETE staleCause= continuationEntryPaused=false
20260720	00:20:00.343	887	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_SIGNAL_ANALYSIS	M10_SIGNAL_ANALYSIS | evidenceId=10 barTime=2026.07.20 02:10 trendState=TREND_STALLING buyPressure=9.6 buySlope=-13.8 sellPressure=49.0 sellSlope=6.9 buyCaseScore=34.9 sellCaseScore=45.7 continuationScore=9.6 exhaustionScore=67.5 exhaustionPct=67.5 structure=STRUCTURE_MIXED location=LOCATION_RESET_CONFIRMED buyRoomR=1.87 sellRoomR=1.57 preferredDirection=NONE decision=NO_VALID_SIGNAL confidence=45.7 reason=neither case cleared the 55.0 bar (buy=34.9 sell=45.7)
20260720	00:20:00.343	888	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_EVIDENCE_STORED	M10_EVIDENCE_STORED | barOpen=2026.07.20 02:10:00 barClose=2026.07.20 02:20:00 evidenceId=10 buyCaseScore=34.91 sellCaseScore=45.69 preferredDirection=NONE decision=NO_VALID_SIGNAL location=LOCATION_RESET_CONFIRMED structure=STRUCTURE_MIXED freshness=FRESH dataState=COMPLETE
20260720	00:20:31.651	1016	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=SELL proposedSetup=TREND_PULLBACK m10Decision=NO_VALID_SIGNAL m10PreferredDirection=NONE m10Reason=neither case cleared the 55.0 bar (buy=34.9 sell=45.7) -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260720	00:27:32.474	1060	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=SELL proposedSetup=TREND_PULLBACK m10Decision=NO_VALID_SIGNAL m10PreferredDirection=NONE m10Reason=neither case cleared the 55.0 bar (buy=34.9 sell=45.7) -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260720	00:29:59.784	1082	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_FRESHNESS	M10_FRESHNESS | currentTime=2026.07.20 02:30:00 evaluatedBarOpen=2026.07.20 02:20:00 evaluatedBarClose=2026.07.20 02:30:00 latestClosedBarOpen=2026.07.20 02:20:00 previousClosedBarOpen=2026.07.20 02:10:00 evaluatedShift=1 openAgeSeconds=600 closeAgeSeconds=0 freshnessState=FRESH dataState=COMPLETE staleCause= continuationEntryPaused=false
20260720	00:29:59.784	1083	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_SIGNAL_ANALYSIS	M10_SIGNAL_ANALYSIS | evidenceId=11 barTime=2026.07.20 02:20 trendState=TREND_STALLING buyPressure=21.9 buySlope=12.3 sellPressure=27.5 sellSlope=-21.6 buyCaseScore=40.0 sellCaseScore=35.1 continuationScore=21.9 exhaustionScore=67.5 exhaustionPct=67.5 structure=STRUCTURE_MIXED location=LOCATION_RESET_CONFIRMED buyRoomR=1.78 sellRoomR=1.70 preferredDirection=NONE decision=TRANSITION_WATCH confidence=45.1 reason=buyCaseScore=40.0 sellCaseScore=35.1 -- too close to call, evidence conflicted
20260720	00:29:59.784	1084	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_EVIDENCE_STORED	M10_EVIDENCE_STORED | barOpen=2026.07.20 02:20:00 barClose=2026.07.20 02:30:00 evidenceId=11 buyCaseScore=40.00 sellCaseScore=35.10 preferredDirection=NONE decision=TRANSITION_WATCH location=LOCATION_RESET_CONFIRMED structure=STRUCTURE_MIXED freshness=FRESH dataState=COMPLETE
20260720	00:30:30.557	1211	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=SELL proposedSetup=TREND_PULLBACK m10Decision=TRANSITION_WATCH m10PreferredDirection=NONE m10Reason=buyCaseScore=40.0 sellCaseScore=35.1 -- too close to call, evidence conflicted -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
