position_id,entry_time,close_time,split,trade_role,campaign_id,candidate_id,symbol,direction,setup,grade,regime,session,entry_hour,signature,entry_price,lots,original_structural_sl,original_one_r_distance,risk_usd,spread_points,spread_atr,news_phase,bias_direction,bos_direction,thesis_location,thesis_exhaustion,thesis_timing,thesis_htf,thesis_structure,thesis_pressure,thesis_action,exit_price,final_pnl_usd,peak_profit_usd,worst_floating_usd,peak_r,realized_r,outcome,exit_reason,result_class,ea_version,build_hash,collection_run_id,data_status
2,2026-04-22 13:12:33,2026-04-22 16:01:52,TRAIN_60D,CORE,1,CORE|BAR=1776862800|GEN=75,XAUUSD,SELL,TREND_PULLBACK,A+,1,NY,13,TB2|ROLE=CORE|EXEC=SELL|DECISION=SELL|ORIG=SELL|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=TREND_PULLBACK|GRADE=A+|SESSION=NY|BIAS=ALIGNED|BOS=ALIGNED|LOC=LOCATION_EXTREME|EXH=EXHAUSTION_MODERATE|TIM=TIMING_WAIT_PULLBACK|HTF=HTF_TRANSITIONING|STRUCT=STRUCTURE_SUPPORTS|PRESS=PRESSURE_TRANSITIONING|ACTION=TRANSITION_WATCH,4748.5,0.56,4766.2,17.69606,990.98,7.0,0.01369,ANP_NONE,-1,-1,LOCATION_EXTREME,EXHAUSTION_MODERATE,TIMING_WAIT_PULLBACK,HTF_TRANSITIONING,STRUCTURE_SUPPORTS,PRESSURE_TRANSITIONING,TRANSITION_WATCH,4743.31,290.64,356.72,-701.12,0.35996690145108884,0.29328543462027484,WEAK_RECOVERY_WIN,PROFIT_CLOSE | EA_MARKET_CLOSE | bestFloating=356.72 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
4,2026-04-23 01:52:31,2026-04-23 02:12:20,TRAIN_60D,CORE,2,CORE|BAR=1776908400|GEN=139,XAUUSD,SELL,TREND_PULLBACK,A+,1,ASIA,1,TB2|ROLE=CORE|EXEC=SELL|DECISION=SELL|ORIG=SELL|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=TREND_PULLBACK|GRADE=A+|SESSION=ASIA|BIAS=ALIGNED|BOS=ALIGNED|LOC=LOCATION_GOOD|EXH=EXHAUSTION_MODERATE|TIM=TIMING_READY|HTF=HTF_NEUTRAL|STRUCT=STRUCTURE_SUPPORTS|PRESS=SELL_PRESSURE_STRONG|ACTION=ALLOW_CORE,4730.7,0.53,4749.79,19.0875,1011.64,25.0,0.04184,ANP_NONE,-1,-1,LOCATION_GOOD,EXHAUSTION_MODERATE,TIMING_READY,HTF_NEUTRAL,STRUCTURE_SUPPORTS,SELL_PRESSURE_STRONG,ALLOW_CORE,4727.76,155.82,367.82,-49.82,0.3635878375706773,0.15402712427345697,WIN,PROFIT_CLOSE | EA_MARKET_CLOSE | bestFloating=367.82 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
6,2026-04-23 02:32:33,2026-04-23 03:00:33,TRAIN_60D,CORE,3,CORE|BAR=1776910800|GEN=143,XAUUSD,SELL,TREND_PULLBACK,A+,1,ASIA,2,TB2|ROLE=CORE|EXEC=SELL|DECISION=SELL|ORIG=SELL|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=TREND_PULLBACK|GRADE=A+|SESSION=ASIA|BIAS=ALIGNED|BOS=ALIGNED|LOC=LOCATION_GOOD|EXH=EXHAUSTION_MODERATE|TIM=TIMING_READY|HTF=HTF_NEUTRAL|STRUCT=STRUCTURE_STRONGLY_SUPPORTS|PRESS=SELL_PRESSURE_STRONG|ACTION=ALLOW_CORE,4726.53,1.43,4733.8,7.27226,1039.94,27.0,0.05623,ANP_NONE,-1,-1,LOCATION_GOOD,EXHAUSTION_MODERATE,TIMING_READY,HTF_NEUTRAL,STRUCTURE_STRONGLY_SUPPORTS,SELL_PRESSURE_STRONG,ALLOW_CORE,4726.34,27.17,353.21,-417.56,0.3396445948804738,0.02612650729849799,WEAK_RECOVERY_WIN,PROFIT_CLOSE | EA_MARKET_CLOSE | bestFloating=353.21 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
8,2026-04-23 08:12:33,2026-04-23 08:30:45,TRAIN_60D,CORE,4,CORE|BAR=1776931200|GEN=177,XAUUSD,BUY,TREND_PULLBACK,A,1,LDN,8,TB2|ROLE=CORE|EXEC=BUY|DECISION=BUY|ORIG=BUY|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=TREND_PULLBACK|GRADE=A|SESSION=LDN|BIAS=OPPOSED|BOS=OPPOSED|LOC=LOCATION_RESET_PENDING|EXH=EXHAUSTION_RESET_CONFIRMED|TIM=TIMING_WAIT_CONFIRMATION|HTF=HTF_TRANSITIONING|STRUCT=STRUCTURE_OPPOSES|PRESS=PRESSURE_TRANSITIONING|ACTION=TRANSITION_WATCH,4710.35,0.69,4695.34,15.01131,1035.78,17.0,0.03002,ANP_NONE,-1,-1,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_CONFIRMATION,HTF_TRANSITIONING,STRUCTURE_OPPOSES,PRESSURE_TRANSITIONING,TRANSITION_WATCH,4695.26,-1041.21,-0.69,-1033.62,-0.0006661646295545386,-1.0052424259977988,LOSS,BROKER_SL | bestFloating=-0.69 shieldArmed=N,LOSS,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
10,2026-04-23 08:52:33,2026-04-23 10:04:58,TRAIN_60D,CORE,5,CORE|BAR=1776933600|GEN=181,XAUUSD,BUY,M10_ORIGINATED_CANDIDATE,A,1,LDN,8,TB2|ROLE=CORE|EXEC=BUY|DECISION=BUY|ORIG=BUY|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=M10_ORIGINATED_CANDIDATE|GRADE=A|SESSION=LDN|BIAS=OPPOSED|BOS=OPPOSED|LOC=LOCATION_RESET_PENDING|EXH=EXHAUSTION_RESET_CONFIRMED|TIM=TIMING_WAIT_CONFIRMATION|HTF=HTF_NEUTRAL|STRUCT=STRUCTURE_OPPOSES|PRESS=BUY_PRESSURE_STRONG|ACTION=OPPOSITE_DISCOVERY,4713.09,0.36,4687.48,25.61156,922.02,17.0,0.0299,ANP_NONE,-1,-1,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_CONFIRMATION,HTF_NEUTRAL,STRUCTURE_OPPOSES,BUY_PRESSURE_STRONG,OPPOSITE_DISCOVERY,4713.24,5.4,291.24,-194.04,0.3158716730656602,0.00585670592828789,WEAK_RECOVERY_WIN,PROFIT_CLOSE | EA_MARKET_CLOSE | bestFloating=291.24 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
12,2026-04-23 11:02:33,2026-04-23 12:03:56,TRAIN_60D,CORE,6,CORE|BAR=1776941400|GEN=194,XAUUSD,BUY,M10_ORIGINATED_CANDIDATE,B,1,LDN,11,TB2|ROLE=CORE|EXEC=BUY|DECISION=BUY|ORIG=BUY|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=M10_ORIGINATED_CANDIDATE|GRADE=B|SESSION=LDN|BIAS=OPPOSED|BOS=OPPOSED|LOC=LOCATION_RESET_PENDING|EXH=EXHAUSTION_RESET_CONFIRMED|TIM=TIMING_WAIT_CONFIRMATION|HTF=HTF_NEUTRAL|STRUCT=STRUCTURE_OPPOSES|PRESS=BUY_PRESSURE_STRONG|ACTION=OPPOSITE_DISCOVERY,4720.96,0.41,4698.02,22.93804,940.46,17.0,0.02227,ANP_NONE,-1,-1,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_CONFIRMATION,HTF_NEUTRAL,STRUCTURE_OPPOSES,BUY_PRESSURE_STRONG,OPPOSITE_DISCOVERY,4697.7,-953.66,90.2,-934.39,0.0959105118771665,-1.0140356846649512,LOSS,BROKER_SL | bestFloating=90.20 shieldArmed=N,LOSS,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
14,2026-04-23 19:12:30,2026-04-23 20:20:52,TRAIN_60D,CORE,7,CORE|BAR=1776970800|GEN=243,XAUUSD,SELL,TREND_PULLBACK,A+,1,LATE,19,TB2|ROLE=CORE|EXEC=SELL|DECISION=SELL|ORIG=SELL|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=TREND_PULLBACK|GRADE=A+|SESSION=LATE|BIAS=ALIGNED|BOS=ALIGNED|LOC=LOCATION_GOOD|EXH=EXHAUSTION_MODERATE|TIM=TIMING_READY|HTF=HTF_NEUTRAL|STRUCT=STRUCTURE_SUPPORTS|PRESS=SELL_PRESSURE_MODERATE|ACTION=ALLOW_CORE,4722.3,0.35,4746.33,24.02944,841.03,4.0,0.00418,ANP_NONE,-1,-1,LOCATION_GOOD,EXHAUSTION_MODERATE,TIMING_READY,HTF_NEUTRAL,STRUCTURE_SUPPORTS,SELL_PRESSURE_MODERATE,ALLOW_CORE,4710.47,414.05,616.0,-525.7,0.7324352282320489,0.49231299715824645,WIN,SL_MOD:GENERAL_10M_EXTENSION_RESTORE_ORIGINAL_SL | sl=4746.33 | spread=17 avgSpread=15.4 | trade=TREND_PULLBACK [A+] | EA_MARKET_CLOSE | bestFloating=616.00 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
16,2026-04-24 10:12:33,2026-04-24 10:50:00,TRAIN_60D,CORE,8,CORE|BAR=1777024800|GEN=321,XAUUSD,BUY,M10_ORIGINATED_CANDIDATE,A,1,LDN,10,TB2|ROLE=CORE|EXEC=BUY|DECISION=BUY|ORIG=BUY|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=M10_ORIGINATED_CANDIDATE|GRADE=A|SESSION=LDN|BIAS=OPPOSED|BOS=OPPOSED|LOC=LOCATION_RESET_PENDING|EXH=EXHAUSTION_RESET_CONFIRMED|TIM=TIMING_WAIT_RECLAIM|HTF=HTF_TRANSITIONING|STRUCT=STRUCTURE_OPPOSES|PRESS=PRESSURE_TRANSITIONING|ACTION=TRANSITION_WATCH,4680.2,0.51,4662.88,17.32269,883.46,17.0,0.02561,ANP_NONE,-1,-1,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_RECLAIM,HTF_TRANSITIONING,STRUCTURE_OPPOSES,PRESSURE_TRANSITIONING,TRANSITION_WATCH,4691.03,552.33,599.25,-96.9,0.6782989609037194,0.6251895954542368,WIN,PROFIT_CLOSE | EA_MARKET_CLOSE | bestFloating=599.25 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
18,2026-04-27 11:42:33,2026-04-27 12:21:24,TRAIN_60D,CORE,9,CORE|BAR=1777289400|GEN=444,XAUUSD,SELL,M10_ORIGINATED_CANDIDATE,B,0,LDN,11,TB2|ROLE=CORE|EXEC=SELL|DECISION=SELL|ORIG=SELL|INV=N|REGIME=REGIME_TRENDING_UP|SETUP=M10_ORIGINATED_CANDIDATE|GRADE=B|SESSION=LDN|BIAS=OPPOSED|BOS=OPPOSED|LOC=LOCATION_RESET_PENDING|EXH=EXHAUSTION_RESET_CONFIRMED|TIM=TIMING_WAIT_CONFIRMATION|HTF=HTF_TRANSITIONING|STRUCT=STRUCTURE_OPPOSES|PRESS=PRESSURE_TRANSITIONING|ACTION=TRANSITION_WATCH,4707.98,0.71,4721.28,13.29831,944.18,14.0,0.03173,ANP_NONE,1,1,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_CONFIRMATION,HTF_TRANSITIONING,STRUCTURE_OPPOSES,PRESSURE_TRANSITIONING,TRANSITION_WATCH,4705.2,197.38,379.85,-494.16,0.4023067635408503,0.20904912198945116,WEAK_RECOVERY_WIN,SL_MOD:GENERAL_10M_EXTENSION_RESTORE_ORIGINAL_SL | sl=4721.28 | spread=17 avgSpread=13.7 | trade=M10_ORIGINATED_CANDIDATE [B] | EA_MARKET_CLOSE | bestFloating=379.85 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
20,2026-04-27 21:02:33,2026-04-28 01:16:09,TRAIN_60D,CORE,10,CORE|BAR=1777323000|GEN=500,XAUUSD,BUY,M10_ORIGINATED_CANDIDATE,A,1,LATE,21,TB2|ROLE=CORE|EXEC=BUY|DECISION=BUY|ORIG=BUY|INV=N|REGIME=REGIME_TRENDING_DOWN|SETUP=M10_ORIGINATED_CANDIDATE|GRADE=A|SESSION=LATE|BIAS=OPPOSED|BOS=OPPOSED|LOC=LOCATION_RESET_PENDING|EXH=EXHAUSTION_RESET_CONFIRMED|TIM=TIMING_WAIT_CONFIRMATION|HTF=HTF_TRANSITIONING|STRUCT=STRUCTURE_OPPOSES|PRESS=PRESSURE_TRANSITIONING|ACTION=TRANSITION_WATCH,4681.73,0.55,4664.5,17.229,947.6,17.0,0.03119,ANP_NONE,-1,-1,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_CONFIRMATION,HTF_TRANSITIONING,STRUCTURE_OPPOSES,PRESSURE_TRANSITIONING,TRANSITION_WATCH,4688.52,366.52,514.47,-278.3,0.5429189531447869,0.386787674124103,WIN,PROFIT_CLOSE | EA_MARKET_CLOSE | bestFloating=514.47 shieldArmed=N,WIN,v6.25.24,v62524-replay-consolidated-root-repair-20260722,V62524_M10_90D_20260422_20260721_RUN1,ENTRY_DATA_PRESENT
