position_id,entry_time,close_time,trade_role,setup,direction,grade,session,thesis_action,risk_usd,peak_profit_usd,peak_r,final_pnl_usd,realized_r,exit_reason,quarantine,review_note
8,2026-04-23 08:12:33,2026-04-23 08:30:45,CORE,TREND_PULLBACK,BUY,A,LDN,TRANSITION_WATCH,1035.78,-0.69,-0.0006661646295545386,-1041.21,-1.0052424259977988,BROKER_SL | bestFloating=-0.69 shieldArmed=N,False,
12,2026-04-23 11:02:33,2026-04-23 12:03:56,CORE,M10_ORIGINATED_CANDIDATE,BUY,B,LDN,OPPOSITE_DISCOVERY,940.46,90.2,0.0959105118771665,-953.66,-1.0140356846649512,BROKER_SL | bestFloating=90.20 shieldArmed=N,False,
34,2026-05-01 04:02:33,2026-05-01 05:11:13,CORE,M10_ORIGINATED_CANDIDATE,SELL,B,ASIA,TRANSITION_WATCH,1168.25,262.4,0.22460945859191095,-1174.24,-1.0051273271988017,BROKER_SL | bestFloating=262.40 shieldArmed=N,False,
50,2026-05-07 12:02:33,2026-05-07 17:50:51,CORE,TREND_PULLBACK,SELL,B,LDN,TRANSITION_WATCH,1276.14,148.0,0.1159747363141975,-1280.2,-1.0031814691178083,BROKER_SL | bestFloating=148.00 shieldArmed=N,False,
56,2026-05-08 07:42:33,2026-05-08 08:32:43,CORE,M10_ORIGINATED_CANDIDATE,SELL,B,LDN,ALLOW_CORE,1348.54,168.56,0.12499443842970917,-1348.48,-0.9999555074376734,BROKER_SL | bestFloating=168.56 shieldArmed=N,False,
60,2026-05-11 04:32:33,2026-05-11 08:43:20,CORE,M10_ORIGINATED_CANDIDATE,BUY,B,ASIA,TRANSITION_WATCH,1216.45,211.27,0.17367750421307904,-1216.93,-1.000394590817543,BROKER_SL | bestFloating=211.27 shieldArmed=N,False,
70,2026-05-15 14:12:30,2026-05-15 15:42:48,CORE,M10_ORIGINATED_CANDIDATE,BUY,B,NY,TRANSITION_WATCH,1279.5,11.44,0.008940992575224696,-1280.24,-1.0005783509183275,BROKER_SL | bestFloating=11.44 shieldArmed=N,False,
72,2026-05-15 15:52:33,2026-05-15 16:01:18,CORE,M10_ORIGINATED_CANDIDATE,BUY,A,NY,OPPOSITE_DISCOVERY,1158.27,18.04,0.015574952299550191,-1159.48,-1.001044661434726,BROKER_SL | bestFloating=18.04 shieldArmed=N,False,
76,2026-05-18 09:02:33,2026-05-18 10:30:52,CORE,TREND_PULLBACK,SELL,A+,LDN,TRANSITION_WATCH,1047.71,97.52,0.09307919176107891,-1051.56,-1.0036746809708792,BROKER_SL | bestFloating=97.52 shieldArmed=N,False,
80,2026-05-19 11:02:33,2026-05-19 11:28:26,CORE,TREND_PULLBACK,BUY,A,LDN,ALLOW_CORE,962.87,92.63,0.09620197949879007,-964.06,-1.0012358885415475,BROKER_SL | bestFloating=92.63 shieldArmed=N,False,
104,2026-05-27 03:02:30,2026-05-27 05:42:29,CORE,TREND_PULLBACK,BUY,B,ASIA,TRANSITION_WATCH,1021.29,9.43,0.009233420478022893,-1022.54,-1.001223942269091,BROKER_SL | bestFloating=9.43 shieldArmed=N,False,
