opportunity_id,machine,timestamp,original_direction,counter_direction,setup,reasonKey,grade,signal_price,atr,original_hit_1R,original_hit_1R_at_min,counter_mfe_R_5m,counter_mae_R_5m,counter_mfe_R_10m,counter_mae_R_10m,counter_mfe_R_15m,counter_mae_R_15m,counter_mfe_R_30m,counter_mae_R_30m,counter_mfe_R_60m,counter_mae_R_60m,counter_time_to_+0.2R_min,counter_time_to_+0.3R_min,counter_time_to_+0.5R_min,counter_time_to_-0.2R_min,counter_time_to_-0.3R_min,counter_time_to_-0.5R_min,sequence_0.2R_vs_0.2R,sequence_0.3R_vs_0.3R,sequence_0.5R_vs_0.5R,counter_max_MFE_R,counter_max_MAE_R,execution_note
MAC_20260617203317_BUY_TREND_PULLBACK,MAC,2026.06.17 20:33:17,BUY,SELL,TREND_PULLBACK,SMART-GUARD,A,4364.39,3.36,Y,30,0.0,1.332,0.0,1.44,0.0,1.44,5.728,1.864,10.048,1.864,30,30,30,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,10.048,1.864,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260617203512_BUY_BREAKOUT,MAC,2026.06.17 20:35:12,BUY,SELL,BREAKOUT,SMART-GUARD,A,4375.42,4.68,Y,30,0.024,0.0,0.024,0.092,0.024,0.24,7.344,0.396,8.148,0.396,30,30,30,15,30,,STOP_FIRST,SIMULTANEOUS_SAME_CHECKPOINT,TARGET_FIRST,8.148,0.396,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260617204012_BUY_SQUEEZE_RELEASE,MAC,2026.06.17 20:40:12,BUY,SELL,SQUEEZE_RELEASE,BAD-LOCATION BLOCK,A,4375.2,5.1,Y,30,0.0,0.1,0.0,0.236,0.0,0.38,6.732,0.38,7.472,0.38,30,30,30,10,15,,STOP_FIRST,STOP_FIRST,TARGET_FIRST,7.472,0.38,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260617204500_BUY_BREAKOUT,MAC,2026.06.17 20:45:00,BUY,SELL,BREAKOUT,BAD-LOCATION BLOCK,A,4376.84,5.37,Y,30,0.108,0.0,0.108,0.104,0.108,0.24,6.676,0.24,7.216,0.24,30,30,30,15,,,STOP_FIRST,TARGET_FIRST,TARGET_FIRST,7.216,0.24,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260617210000_BUY_SQUEEZE_RELEASE,MAC,2026.06.17 21:00:00,BUY,SELL,SQUEEZE_RELEASE,BAD-RR TIMING BLOCK,A,4379.81,5.82,Y,5,4.368,0.0,6.212,0.0,6.364,0.0,6.42,0.0,6.86,0.0,5,5,5,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,6.86,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605152012_BUY_TREND_PULLBACK,MAC,2026.06.05 15:20:12,BUY,SELL,TREND_PULLBACK,BAD-LOCATION BLOCK,A,4475.36,4.48,Y,10,0.736,0.0,1.964,0.0,1.988,0.0,5.144,0.0,6.72,0.0,5,5,5,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,6.72,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605151013_BUY_TREND_PULLBACK,MAC,2026.06.05 15:10:13,BUY,SELL,TREND_PULLBACK,NEWS FILTER (high-impact event nearby),A,4469.1,4.29,Y,15,0.004,0.564,0.184,0.564,1.468,0.564,2.252,0.564,6.436,0.564,15,15,15,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,6.436,0.564,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605150512_BUY_TREND_PULLBACK,MAC,2026.06.05 15:05:12,BUY,SELL,TREND_PULLBACK,FAILED-IMPULSE BLOCK,A,4465.39,4.14,Y,30,0.0,0.284,0.0,0.356,0.0,0.944,1.188,0.944,6.316,0.944,30,30,30,5,10,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,6.316,0.944,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605145013_BUY_TREND_PULLBACK,MAC,2026.06.05 14:50:13,BUY,SELL,TREND_PULLBACK,SMART-GUARD,A,4467.55,3.28,Y,60,0.0,0.58,0.272,0.58,0.272,0.58,0.272,0.928,6.08,0.928,10,60,60,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,6.08,0.928,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605145512_BUY_BREAKOUT,MAC,2026.06.05 14:55:12,BUY,SELL,BREAKOUT,SMART-GUARD,A,4472.44,3.68,Y,60,0.288,0.0,0.776,0.0,0.776,0.0,0.776,0.296,5.944,0.296,5,10,10,30,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,5.944,0.296,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
