opportunity_id,machine,timestamp,original_direction,counter_direction,setup,reasonKey,grade,signal_price,atr,original_hit_1R,original_hit_1R_at_min,counter_mfe_R_5m,counter_mae_R_5m,counter_mfe_R_10m,counter_mae_R_10m,counter_mfe_R_15m,counter_mae_R_15m,counter_mfe_R_30m,counter_mae_R_30m,counter_mfe_R_60m,counter_mae_R_60m,counter_time_to_+0.2R_min,counter_time_to_+0.3R_min,counter_time_to_+0.5R_min,counter_time_to_-0.2R_min,counter_time_to_-0.3R_min,counter_time_to_-0.5R_min,sequence_0.2R_vs_0.2R,sequence_0.3R_vs_0.3R,sequence_0.5R_vs_0.5R,counter_max_MFE_R,counter_max_MAE_R,execution_note
VPS_20260707134514_BUY_TREND_PULLBACK,VPS,2026.07.07 13:45:14,BUY,SELL,TREND_PULLBACK,SPREAD_TOO_WIDE,A,4178.22,7.55,Y,10,0.584,0.0,1.092,0.0,1.22,0.0,1.328,0.0,1.504,0.0,5,5,5,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.504,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707174512_BUY_HTF_TREND_FOLLOW,VPS,2026.07.07 17:45:12,BUY,SELL,HTF_TREND_FOLLOW,BAD-LOCATION BLOCK,A,4147.36,2.8,Y,60,0.324,0.0,0.488,0.0,0.488,0.0,0.884,0.0,1.184,0.0,5,5,30,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.184,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707235514_SELL_TREND_PULLBACK,VPS,2026.07.07 23:55:14,SELL,BUY,TREND_PULLBACK,BAD-RR TRUE BLOCK,A,4097.7,4.28,Y,60,0.34,0.0,0.388,0.0,0.404,0.0,0.744,0.0,2.56,0.0,5,5,30,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,2.56,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708004016_BUY_BREAKOUT,VPS,2026.07.08 00:40:16,BUY,SELL,BREAKOUT,SMART-GUARD,A+,4125.15,5.49,Y,30,0.324,0.0,0.692,0.0,0.944,0.0,1.428,0.0,1.888,0.0,5,5,10,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.888,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708004515_BUY_SQUEEZE_RELEASE,VPS,2026.07.08 00:45:15,BUY,SELL,SQUEEZE_RELEASE,SPREAD_TOO_WIDE,A,4124.81,5.54,Y,15,0.66,0.0,0.912,0.0,1.388,0.0,1.388,0.0,1.844,0.0,5,5,5,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.844,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708014016_SELL_TREND_PULLBACK,VPS,2026.07.08 01:40:16,SELL,BUY,TREND_PULLBACK,BAD-LOCATION BLOCK,A,4100.45,7.68,Y,60,0.584,0.0,0.584,0.0,0.584,0.0,0.772,0.0,1.012,0.0,5,5,5,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.012,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708062514_BUY_BREAKOUT,VPS,2026.07.08 06:25:14,BUY,SELL,BREAKOUT,SPREAD_TOO_WIDE,A,4131.76,4.87,Y,60,0.42,0.0,0.424,0.0,0.424,0.0,0.6,0.0,1.3,0.0,5,5,30,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.3,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708072013_SELL_SQUEEZE_RELEASE,VPS,2026.07.08 07:20:13,SELL,BUY,SQUEEZE_RELEASE,SPREAD_TOO_WIDE,A,4115.75,3.89,Y,30,0.296,0.0,0.464,0.0,0.76,0.0,1.084,0.0,1.084,1.98,5,10,15,60,60,60,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.084,1.98,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708161301_SELL_TREND_PULLBACK,VPS,2026.07.08 16:13:01,SELL,BUY,TREND_PULLBACK,Personality mismatch,PERSONALITY,4041.0,6.57,Y,30,0.0,0.12,0.0,0.12,0.104,0.12,1.004,0.12,2.1,0.12,30,30,30,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,2.1,0.12,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708161602_SELL_TREND_PULLBACK,VPS,2026.07.08 16:16:02,SELL,BUY,TREND_PULLBACK,NEWS FILTER (high-impact event nearby),B,4038.61,6.47,Y,30,0.136,0.0,0.256,0.0,0.256,0.0,1.204,0.0,2.28,0.0,10,30,30,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,2.28,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
