period,dimension,value,trades,avg_realized_r,avg_peak_r_while_open,trades_with_5m_data,historical_data_unavailable_5m,avg_total_favorable_r_5m,avg_missed_r_5m,median_missed_r_5m,total_missed_r_5m,avg_max_adverse_r_5m,returned_to_entry_count_5m,crossed_original_sl_count_5m,clean_continuation_count_5m,immediate_reversal_count_5m,trades_with_10m_data,historical_data_unavailable_10m,avg_total_favorable_r_10m,avg_missed_r_10m,median_missed_r_10m,total_missed_r_10m,avg_max_adverse_r_10m,returned_to_entry_count_10m,crossed_original_sl_count_10m,clean_continuation_count_10m,immediate_reversal_count_10m,trades_with_15m_data,historical_data_unavailable_15m,avg_total_favorable_r_15m,avg_missed_r_15m,median_missed_r_15m,total_missed_r_15m,avg_max_adverse_r_15m,returned_to_entry_count_15m,crossed_original_sl_count_15m,clean_continuation_count_15m,immediate_reversal_count_15m,trades_with_20m_data,historical_data_unavailable_20m,avg_total_favorable_r_20m,avg_missed_r_20m,median_missed_r_20m,total_missed_r_20m,avg_max_adverse_r_20m,returned_to_entry_count_20m,crossed_original_sl_count_20m,clean_continuation_count_20m,immediate_reversal_count_20m,trades_with_30m_data,historical_data_unavailable_30m,avg_total_favorable_r_30m,avg_missed_r_30m,median_missed_r_30m,total_missed_r_30m,avg_max_adverse_r_30m,returned_to_entry_count_30m,crossed_original_sl_count_30m,clean_continuation_count_30m,immediate_reversal_count_30m,trades_with_60m_data,historical_data_unavailable_60m,avg_total_favorable_r_60m,avg_missed_r_60m,median_missed_r_60m,total_missed_r_60m,avg_max_adverse_r_60m,returned_to_entry_count_60m,crossed_original_sl_count_60m,clean_continuation_count_60m,immediate_reversal_count_60m
FIRST_60_DAYS,entry_regime,CHOPPY,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FIRST_60_DAYS,entry_regime,RANGING,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FIRST_60_DAYS,entry_regime,TREND_DN,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FIRST_60_DAYS,entry_regime,TREND_UP,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,entry_regime,CHOPPY,1,0.508976,0.711652,1,0,0.740604,0.231628,0.231628,0.231628,0.219437,0,0,0,1,1,0,0.740604,0.231628,0.231628,0.231628,0.46478,0,0,0,1,1,0,0.740604,0.231628,0.231628,0.231628,0.46478,0,0,0,1,1,0,0.740604,0.231628,0.231628,0.231628,0.46478,0,0,0,1,1,0,1.063664,0.554688,0.554688,0.554688,0.46478,0,0,0,1,1,0,1.740262,1.231286,1.231286,1.231286,0.46478,0,0,0,1
LATEST_30_DAYS,entry_regime,RANGING,5,0.099282,0.49973,5,0,0.298887,0.199605,0.208881,0.998024,0.090891,1,1,3,2,5,0,0.350592,0.25131,0.27965,1.256548,0.10361,1,1,3,2,5,0,0.372995,0.273713,0.27965,1.368565,0.122312,1,1,3,2,5,0,0.395273,0.295991,0.296232,1.479955,0.141042,1,1,3,2,5,0,0.407145,0.307863,0.308349,1.539314,0.183714,2,1,3,2,5,0,0.459684,0.360402,0.349164,1.802009,0.213182,3,1,3,2
LATEST_30_DAYS,entry_regime,TREND_DN,52,-0.126272,0.404533,52,0,0.043866,0.170138,0.13311,8.847177,0.19888,24,20,23,26,52,0,0.089168,0.21544,0.188522,11.202894,0.264876,29,20,23,28,52,0,0.118972,0.245244,0.218364,12.752674,0.334979,31,20,24,28,52,0,0.167447,0.293719,0.241271,15.273396,0.368413,31,20,24,28,52,0,0.288454,0.414726,0.305096,21.565739,0.531773,33,20,24,28,52,0,0.484722,0.610994,0.399404,31.771679,0.695228,35,22,24,28
LATEST_30_DAYS,entry_regime,TREND_UP,25,-0.085324,0.479293,25,0,0.071777,0.157102,0.13939,3.92754,0.153513,11,9,15,9,25,0,0.164845,0.250169,0.228857,6.254226,0.187271,11,9,15,9,25,0,0.202745,0.288069,0.293037,7.201723,0.268173,12,9,16,9,25,0,0.288379,0.373703,0.324527,9.342584,0.314772,12,9,16,9,25,0,0.369174,0.454498,0.379713,11.362438,0.344532,13,11,16,9,25,0,0.571089,0.656413,0.525,16.41033,0.50773,16,11,16,9
FULL_90_DAYS,entry_regime,CHOPPY,1,0.508976,0.711652,1,0,0.740604,0.231628,0.231628,0.231628,0.219437,0,0,0,1,1,0,0.740604,0.231628,0.231628,0.231628,0.46478,0,0,0,1,1,0,0.740604,0.231628,0.231628,0.231628,0.46478,0,0,0,1,1,0,0.740604,0.231628,0.231628,0.231628,0.46478,0,0,0,1,1,0,1.063664,0.554688,0.554688,0.554688,0.46478,0,0,0,1,1,0,1.740262,1.231286,1.231286,1.231286,0.46478,0,0,0,1
FULL_90_DAYS,entry_regime,RANGING,5,0.099282,0.49973,5,0,0.298887,0.199605,0.208881,0.998024,0.090891,1,1,3,2,5,0,0.350592,0.25131,0.27965,1.256548,0.10361,1,1,3,2,5,0,0.372995,0.273713,0.27965,1.368565,0.122312,1,1,3,2,5,0,0.395273,0.295991,0.296232,1.479955,0.141042,1,1,3,2,5,0,0.407145,0.307863,0.308349,1.539314,0.183714,2,1,3,2,5,0,0.459684,0.360402,0.349164,1.802009,0.213182,3,1,3,2
