position_id,campaign_id,leg_role,entry_source_path,direction,entry_time,entry_regime,frozen_owner_exit_profile,trade_grade,trade_grade_source,trade_label,volume_lots,entry_price,broker_tp_at_entry,analytical_tp_price,original_sl,risk_distance,risk_usd,exit_time,exit_price,exit_authority,broker_sl_at_exit,exit_spread_points,realized_profit_usd,realized_r_at_exit,peak_r_while_open,period_membership,total_favorable_r_at_5m,missed_r_5m,maximum_adverse_r_after_exit_5m,returned_to_entry_5m,crossed_original_sl_5m,path_classification_5m,observed_through_5m,total_favorable_r_at_10m,missed_r_10m,maximum_adverse_r_after_exit_10m,returned_to_entry_10m,crossed_original_sl_10m,path_classification_10m,observed_through_10m,total_favorable_r_at_15m,missed_r_15m,maximum_adverse_r_after_exit_15m,returned_to_entry_15m,crossed_original_sl_15m,path_classification_15m,observed_through_15m,total_favorable_r_at_20m,missed_r_20m,maximum_adverse_r_after_exit_20m,returned_to_entry_20m,crossed_original_sl_20m,path_classification_20m,observed_through_20m,total_favorable_r_at_30m,missed_r_30m,maximum_adverse_r_after_exit_30m,returned_to_entry_30m,crossed_original_sl_30m,path_classification_30m,observed_through_30m,total_favorable_r_at_60m,missed_r_60m,maximum_adverse_r_after_exit_60m,returned_to_entry_60m,crossed_original_sl_60m,path_classification_60m,observed_through_60m,clean_continuation_or_immediate_reversal
2,CAMP-1,CORE,FRESH,SELL,2026.05.29 01:33:00,TREND_UP,GENERAL,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,1.04,4495.73,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4505.27364,9.54364,992.53,2026.05.29 01:52:37,4494.25,PROFIT_CLOSE,,,153.92,0.155078,0.323777,FULL_50_DAYS,0.279768,0.12469,0.062869,False,False,CLEAN_CONTINUATION,2026.05.29 01:57:37,0.480949,0.325871,0.062869,False,False,CLEAN_CONTINUATION,2026.05.29 02:02:37,0.480949,0.325871,0.17289,True,False,CLEAN_CONTINUATION,2026.05.29 02:07:37,0.480949,0.325871,0.17289,True,False,CLEAN_CONTINUATION,2026.05.29 02:12:37,0.480949,0.325871,0.317489,True,False,CLEAN_CONTINUATION,2026.05.29 02:22:37,0.675843,0.520766,0.317489,True,False,CLEAN_CONTINUATION,2026.05.29 02:52:37,CLEAN_CONTINUATION
4,CAMP-2,CORE,FRESH,BUY,2026.05.29 07:33:00,TREND_UP,GENERAL,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,0.55,4509.32,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4491.13066,18.18934,1000.41,2026.05.29 08:00:53,4512.63,PROFIT_CLOSE,,,182.05,0.181975,0.337561,FULL_50_DAYS,0.181975,0.0,0.159434,False,False,IMMEDIATE_REVERSAL,2026.05.29 08:05:53,0.181975,0.0,0.173728,False,False,IMMEDIATE_REVERSAL,2026.05.29 08:10:53,0.181975,0.0,0.201766,True,False,IMMEDIATE_REVERSAL,2026.05.29 08:15:53,0.181975,0.0,0.201766,True,False,IMMEDIATE_REVERSAL,2026.05.29 08:20:53,0.181975,0.0,0.227056,True,False,IMMEDIATE_REVERSAL,2026.05.29 08:30:53,0.686116,0.504141,0.545924,True,False,IMMEDIATE_REVERSAL,2026.05.29 09:00:53,IMMEDIATE_REVERSAL
6,CAMP-3,CORE,FRESH,BUY,2026.05.29 08:03:30,TREND_UP,GENERAL,A+,EXIT_TRADE_LABEL,M30_CONSENSUS_CORE_1780041600 [A+],0.51,4510.84,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4490.89789,19.94211,1017.05,2026.05.29 09:01:02,4518.71,SL_MOD:OWNER_R_EXIT_FLOOR,4518.39,4.0,401.37,0.394642,0.549591,FULL_50_DAYS,0.582185,0.187543,0.05516,False,False,CLEAN_CONTINUATION,2026.05.29 09:06:02,0.582185,0.187543,0.252731,False,False,CLEAN_CONTINUATION,2026.05.29 09:11:02,0.582185,0.187543,0.381103,False,False,CLEAN_CONTINUATION,2026.05.29 09:16:02,0.582185,0.187543,0.43526,True,False,CLEAN_CONTINUATION,2026.05.29 09:21:02,0.582185,0.187543,0.43526,True,False,CLEAN_CONTINUATION,2026.05.29 09:31:02,0.663922,0.269279,0.43526,True,False,CLEAN_CONTINUATION,2026.05.29 10:01:02,CLEAN_CONTINUATION
8,CAMP-4,CORE,FRESH,SELL,2026.05.29 15:33:00,TREND_UP,GENERAL,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,0.45,4520.23,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4543.93797,23.70797,1066.86,2026.05.29 15:48:28,4516.29,PROFIT_CLOSE,,,177.3,0.166189,0.308757,FULL_50_DAYS,0.2438,0.077611,0.164923,False,False,IMMEDIATE_REVERSAL,2026.05.29 15:53:28,0.2438,0.077611,0.164923,False,False,IMMEDIATE_REVERSAL,2026.05.29 15:58:27,0.2438,0.077611,0.35178,True,False,IMMEDIATE_REVERSAL,2026.05.29 16:03:28,0.2438,0.077611,0.404505,True,False,IMMEDIATE_REVERSAL,2026.05.29 16:08:28,0.2438,0.077611,0.457652,True,False,IMMEDIATE_REVERSAL,2026.05.29 16:18:28,0.2438,0.077611,0.828413,True,False,IMMEDIATE_REVERSAL,2026.05.29 16:48:28,IMMEDIATE_REVERSAL
10,CAMP-5,CORE,FRESH,BUY,2026.06.01 08:33:00,TREND_UP,GENERAL,A+,EXIT_TRADE_LABEL,M30_CONSENSUS_CORE_1780302600 [A+],1.06,4516.33,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4506.05354,10.27646,1089.31,2026.06.01 08:39:31,4520.58,SL_MOD:OWNER_R_EXIT_FLOOR,4519.97,17.0,450.5,0.413565,0.557583,FULL_50_DAYS,0.460274,0.046709,0.491414,True,False,IMMEDIATE_REVERSAL,2026.06.01 08:44:31,0.678248,0.264683,0.491414,True,False,IMMEDIATE_REVERSAL,2026.06.01 08:49:31,0.86119,0.447625,0.491414,True,False,IMMEDIATE_REVERSAL,2026.06.01 08:54:31,0.86119,0.447625,0.491414,True,False,IMMEDIATE_REVERSAL,2026.06.01 08:59:31,0.86119,0.447625,0.619863,True,False,IMMEDIATE_REVERSAL,2026.06.01 09:09:31,0.86119,0.447625,1.83137,True,True,IMMEDIATE_REVERSAL,2026.06.01 09:39:31,IMMEDIATE_REVERSAL
12,CAMP-6,CORE,FRESH,BUY,2026.06.01 19:03:00,TREND_DN,GENERAL,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,0.39,4474.61,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4445.99403,28.61597,1116.02,2026.06.01 20:34:15,4480.52,PROFIT_CLOSE,,,230.49,0.206528,0.3844,FULL_50_DAYS,0.349106,0.142578,0.0,False,False,CLEAN_CONTINUATION,2026.06.01 20:39:15,0.561574,0.355046,0.0,False,False,CLEAN_CONTINUATION,2026.06.01 20:44:15,0.728264,0.521737,0.0,False,False,CLEAN_CONTINUATION,2026.06.01 20:49:15,0.728264,0.521737,0.0,False,False,CLEAN_CONTINUATION,2026.06.01 20:54:15,0.728264,0.521737,0.0,False,False,CLEAN_CONTINUATION,2026.06.01 21:04:15,0.728264,0.521737,0.0,False,False,CLEAN_CONTINUATION,2026.06.01 21:34:15,CLEAN_CONTINUATION
14,CAMP-7,CORE,FRESH,SELL,2026.06.02 12:03:00,TREND_UP,GENERAL,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,0.76,4527.15,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4542.38177,15.23177,1157.62,2026.06.02 12:32:54,4524.51,PROFIT_CLOSE,,,200.64,0.173322,0.33023,FULL_50_DAYS,0.223874,0.050552,0.158222,False,False,IMMEDIATE_REVERSAL,2026.06.02 12:37:54,0.355835,0.182513,0.158222,False,False,IMMEDIATE_REVERSAL,2026.06.02 12:42:54,0.355835,0.182513,0.158222,False,False,IMMEDIATE_REVERSAL,2026.06.02 12:47:54,0.355835,0.182513,0.449718,True,False,IMMEDIATE_REVERSAL,2026.06.02 12:52:54,0.355835,0.182513,0.47204,True,False,IMMEDIATE_REVERSAL,2026.06.02 13:02:54,0.355835,0.182513,0.484514,True,False,IMMEDIATE_REVERSAL,2026.06.02 13:32:54,IMMEDIATE_REVERSAL
16,CAMP-8,CORE,FRESH,BUY,2026.06.02 22:33:00,TREND_DN,GENERAL,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,0.97,4488.11,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4476.01897,12.09103,1172.83,2026.06.03 01:01:24,4490.35,PROFIT_CLOSE,,,205.06,0.174842,0.336947,FULL_50_DAYS,0.290631,0.115788,0.207592,True,False,CLEAN_CONTINUATION,2026.06.03 01:06:24,0.403938,0.229095,0.207592,True,False,CLEAN_CONTINUATION,2026.06.03 01:11:24,0.403938,0.229095,0.207592,True,False,CLEAN_CONTINUATION,2026.06.03 01:16:23,0.403938,0.229095,0.207592,True,False,CLEAN_CONTINUATION,2026.06.03 01:21:24,0.403938,0.229095,0.226614,True,False,CLEAN_CONTINUATION,2026.06.03 01:31:23,0.403938,0.229095,0.510296,True,False,CLEAN_CONTINUATION,2026.06.03 02:01:24,CLEAN_CONTINUATION
18,CAMP-9,CORE,FRESH,BUY,2026.06.03 01:33:00,TREND_DN,GENERAL,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,0.84,4491.17,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4476.9122,14.2578,1197.66,2026.06.03 02:10:55,4476.67,BROKER_SL,,,-1218.0,-1.016987,0.070838,FULL_50_DAYS,-0.768001,0.248987,0.155704,True,True,IMMEDIATE_REVERSAL,2026.06.03 02:15:54,-0.768001,0.248987,0.528833,True,True,IMMEDIATE_REVERSAL,2026.06.03 02:20:55,-0.768001,0.248987,0.704877,True,True,IMMEDIATE_REVERSAL,2026.06.03 02:25:55,-0.768001,0.248987,1.01348,True,True,IMMEDIATE_REVERSAL,2026.06.03 02:30:55,-0.768001,0.248987,1.01348,True,True,IMMEDIATE_REVERSAL,2026.06.03 02:40:55,-0.768001,0.248987,1.01348,True,True,IMMEDIATE_REVERSAL,2026.06.03 03:10:54,IMMEDIATE_REVERSAL
20,CAMP-10,CORE,FRESH,SELL,2026.06.03 02:33:00,BRKT_DN,BREAKOUT,DATA_UNAVAILABLE,DATA_UNAVAILABLE,,0.29,4462.87,NOT_CAPTURED_IN_FORENSIC_ROW,NOT_CAPTURED_IN_FORENSIC_ROW,4499.20403,36.33403,1053.69,2026.06.03 11:03:13,4456.5,PROFIT_CLOSE,,,184.73,0.175318,0.321462,FULL_50_DAYS,0.25761,0.082292,0.075962,False,False,NO_DECISIVE_0.10R_MOVE,2026.06.03 11:08:13,0.25761,0.082292,0.075962,False,False,NO_DECISIVE_0.10R_MOVE,2026.06.03 11:13:13,0.284582,0.109264,0.075962,False,False,CLEAN_CONTINUATION,2026.06.03 11:18:13,0.303022,0.127704,0.075962,False,False,CLEAN_CONTINUATION,2026.06.03 11:23:13,0.329994,0.154676,0.075962,False,False,CLEAN_CONTINUATION,2026.06.03 11:33:13,0.619805,0.444487,0.075962,False,False,CLEAN_CONTINUATION,2026.06.03 12:03:13,CLEAN_CONTINUATION
