action,attempted_authority,attempted_exit_r,authority,currentR,decision,direction,external_manual,floor_r,guaranteedFloorR,new_floor_r,peak_r,previous_floor_r,profile,protected_floor_r,reason,ret,tag,ticket,ts
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,2,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,2,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,4,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,4,
,,,,,,,,0.300,,,0.404,,GENERAL,,,,OWNER_R_EXIT_FLOOR_ARMED,6,
,,,,,,,,,,0.351,0.501,0.300,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.356,0.508,0.351,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.356,0.508,0.356,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.364,0.520,0.356,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.364,0.521,0.364,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.365,0.522,0.364,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.368,0.526,0.365,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.369,0.527,0.368,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.369,0.528,0.369,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.370,0.529,0.369,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.370,0.529,0.370,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.373,0.534,0.370,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.375,0.536,0.373,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.378,0.541,0.375,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.382,0.545,0.378,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.382,0.546,0.382,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
,,,,,,,,,,0.385,0.550,0.382,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,6,
CLOSE_AT_OR_ABOVE_FLOOR,,,,0.395,,BUY,,,0.38,,,,,,OWNER_R_EXIT_FLOOR_BREACH,,OWNER_R_EXIT_DECISION,6,
,,,OWNER_R_EXIT_FLOOR_BREACH,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,6,
,,,OWNER_R_EXIT_FLOOR_BREACH,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,6,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,8,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,8,
,,,,,,,,0.300,,,0.415,,GENERAL,,,,OWNER_R_EXIT_FLOOR_ARMED,10,
,,,,,,,,,,0.354,0.506,0.300,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.356,0.509,0.354,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.357,0.510,0.356,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.367,0.524,0.357,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.368,0.525,0.367,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.377,0.539,0.368,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.387,0.553,0.377,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.388,0.554,0.387,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
,,,,,,,,,,0.390,0.558,0.388,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,10,
CLOSE_AT_OR_ABOVE_FLOOR,,,,0.414,,BUY,,,0.39,,,,,,OWNER_R_EXIT_FLOOR_BREACH,,OWNER_R_EXIT_DECISION,10,
,,,OWNER_R_EXIT_FLOOR_BREACH,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,10,
,,,OWNER_R_EXIT_FLOOR_BREACH,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,10,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,12,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,12,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,14,
