direction,effectiveRiskUSD,entry,lots,originalOneRDistance,originalRiskUSD,originalStructuralSL,ownerExitProfile,positionId,ticket,ts
SELL,992.53,4495.73000,1.04,9.54364,992.53,4505.27364,GENERAL,2,2,
BUY,1000.41,4509.32000,0.55,18.18934,1000.41,4491.13066,GENERAL,4,4,
BUY,1017.05,4510.84000,0.51,19.94211,1017.05,4490.89789,GENERAL,6,6,
SELL,1066.86,4520.23000,0.45,23.70797,1066.86,4543.93797,GENERAL,8,8,
BUY,1089.31,4516.33000,1.06,10.27646,1089.31,4506.05354,GENERAL,10,10,
BUY,1116.02,4474.61000,0.39,28.61597,1116.02,4445.99403,GENERAL,12,12,
SELL,1157.62,4527.15000,0.76,15.23177,1157.62,4542.38177,GENERAL,14,14,
BUY,1172.83,4488.11000,0.97,12.09103,1172.83,4476.01897,GENERAL,16,16,
BUY,1197.66,4491.17000,0.84,14.25780,1197.66,4476.91220,GENERAL,18,18,
SELL,1053.69,4462.87000,0.29,36.33403,1053.69,4499.20403,BREAKOUT,20,20,
SELL,1085.02,4454.88000,0.79,13.73443,1085.02,4468.61443,GENERAL,22,22,
SELL,980.07,4482.68000,0.24,40.83626,980.07,4523.51626,GENERAL,24,24,
BUY,1006.72,4480.70000,0.66,15.25337,1006.72,4465.44663,GENERAL,26,26,
SELL,895.13,4452.74000,0.32,27.97286,895.13,4480.71286,GENERAL,28,28,
SELL,930.16,4323.10000,0.31,30.00523,930.16,4353.10523,GENERAL,30,30,
SELL,958.80,4326.33000,0.57,16.82096,958.80,4343.15096,GENERAL,32,32,
SELL,862.81,4333.14000,0.89,9.69446,862.81,4342.83446,GENERAL,34,34,
SELL,864.70,4326.29000,0.48,18.01449,864.70,4344.30449,GENERAL,36,36,
SELL,773.63,4330.92000,0.42,18.41974,773.63,4349.33974,GENERAL,38,38,
SELL,798.70,4089.17000,0.36,22.18620,798.70,4111.35620,GENERAL,40,40,
SELL,813.66,4087.19000,0.33,24.65644,813.66,4111.84644,GENERAL,42,42,
SELL,717.59,4086.64000,0.22,32.61776,717.59,4119.25776,GENERAL,44,44,
SELL,736.16,4306.08000,0.22,33.46187,736.16,4339.54187,GENERAL,46,46,
SELL,683.87,4337.15000,0.51,13.40923,683.87,4350.55923,GENERAL,48,48,
SELL,710.00,4339.20000,0.26,27.30746,710.00,4366.50746,GENERAL,50,50,
BUY,730.52,4309.34000,0.83,8.80140,730.52,4300.53860,GENERAL,52,52,
BUY,764.16,4313.84000,0.73,10.46790,764.16,4303.37210,GENERAL,54,54,
BUY,774.86,4325.10000,0.34,22.79010,774.86,4302.30990,GENERAL,56,56,
BUY,796.22,4329.52000,0.41,19.41990,796.22,4310.10010,GENERAL,58,58,
BUY,818.75,4333.63000,0.67,12.22020,818.75,4321.40980,GENERAL,60,60,
BUY,846.07,4341.06000,0.40,21.15176,846.07,4319.90824,GENERAL,62,62,
BUY,867.02,4347.39000,1.24,6.99206,867.02,4340.39794,GENERAL,64,64,
SELL,764.44,4335.39000,0.31,24.65936,764.44,4360.04936,GENERAL,66,66,
BUY,811.62,4337.71000,0.40,20.29037,811.62,4317.41963,GENERAL,68,68,
BUY,803.13,4342.42000,0.31,25.90753,803.13,4316.51247,GENERAL,70,70,
BUY,846.15,4280.39000,0.32,26.44217,846.15,4253.94783,GENERAL,72,72,
BUY,888.24,4319.43000,0.53,16.75924,888.24,4302.67076,GENERAL,74,74,
SELL,900.34,4307.41000,0.41,21.95961,900.34,4329.36961,GENERAL,76,76,
SELL,928.97,4303.71000,0.35,26.54194,928.97,4330.25194,GENERAL,78,78,
SELL,964.72,4291.97000,0.43,22.43533,964.72,4314.40533,GENERAL,80,80,
SELL,983.06,4288.92000,0.38,25.87007,983.06,4314.79007,GENERAL,82,82,
SELL,975.53,4247.67000,0.31,31.46859,975.53,4279.13859,GENERAL,84,84,
SELL,1018.64,4148.28000,0.43,23.68941,1018.64,4171.96941,GENERAL,86,86,
BUY,916.65,4152.05000,0.72,12.73127,916.65,4139.31873,GENERAL,88,88,
BUY,925.74,4167.38000,0.24,38.57271,925.74,4128.80729,GENERAL,90,90,
BUY,990.47,4198.28000,0.13,76.19001,990.47,4122.08999,GENERAL,92,92,
SELL,946.56,4132.59000,0.64,14.79000,946.56,4147.38000,GENERAL,94,94,
SELL,950.43,4121.99000,0.66,14.40047,950.43,4136.39047,GENERAL,96,96,
SELL,995.60,4122.61000,0.73,13.63834,995.60,4136.24834,GENERAL,98,98,
SELL,1026.81,3979.17000,1.09,9.42030,1026.81,3988.59030,GENERAL,100,100,
SELL,1033.22,4007.47000,0.30,34.44081,1033.22,4041.91081,GENERAL,102,102,
BUY,950.95,4003.42000,0.66,14.40831,950.95,3989.01169,GENERAL,104,104,
BUY,978.93,4006.02000,0.56,17.48087,978.93,3988.53913,GENERAL,106,106,
BUY,1021.15,4011.51000,0.78,13.09166,1021.15,3998.41834,GENERAL,108,108,
BUY,1063.54,4017.58000,0.73,14.56903,1063.54,4003.01097,GENERAL,110,110,
BUY,1115.69,4026.65000,0.42,26.56397,1115.69,4000.08603,GENERAL,112,112,
SELL,1122.46,4060.67000,0.36,31.17951,1122.46,4091.84951,GENERAL,114,114,
SELL,1174.64,4016.73000,0.86,13.65857,1174.64,4030.38857,GENERAL,116,116,
SELL,1174.80,4018.53000,0.50,23.49604,1174.80,4042.02604,GENERAL,118,118,
SELL,1232.35,4015.38000,0.45,27.38546,1232.35,4042.76546,GENERAL,120,120,
SELL,1093.17,4035.92000,0.31,35.26350,1093.17,4071.18350,GENERAL,122,122,
SELL,1104.16,4029.90000,0.26,42.46770,1104.16,4072.36770,GENERAL,124,124,
SELL,1141.22,4006.41000,1.36,8.39134,1141.22,4014.80134,GENERAL,126,126,
SELL,1183.39,4003.07000,1.32,8.96507,1183.39,4012.03507,GENERAL,128,128,
SELL,1246.10,3976.87000,0.81,15.38391,1246.10,3992.25391,GENERAL,130,130,
SELL,1279.40,4073.08000,0.80,15.99249,1279.40,4089.07249,GENERAL,132,132,
SELL,1308.97,4070.09000,0.68,19.24954,1308.97,4089.33954,GENERAL,134,134,
BUY,1355.76,4050.52000,0.83,16.33449,1355.76,4034.18551,GENERAL,136,136,
BUY,1374.08,4052.22000,0.92,14.93571,1374.08,4037.28429,GENERAL,138,138,
BUY,1398.34,4065.29000,1.05,13.31747,1398.34,4051.97253,GENERAL,140,140,
BUY,1459.24,4071.19000,0.72,20.26723,1459.24,4050.92277,GENERAL,142,142,
SELL,1506.68,4175.06000,0.99,15.21904,1506.68,4190.27904,GENERAL,144,144,
SELL,1533.05,4167.94000,0.87,17.62127,1533.05,4185.56127,GENERAL,146,146,
BUY,1594.81,4161.87000,1.14,13.98956,1594.81,4147.88044,GENERAL,148,148,
BUY,1426.03,4152.91000,0.69,20.66709,1426.03,4132.24291,GENERAL,150,150,
SELL,1458.66,4155.98000,1.24,11.76339,1458.66,4167.74339,GENERAL,152,152,
SELL,1484.60,4160.25000,2.25,6.59824,1484.60,4166.84824,GENERAL,154,154,
BUY,1531.03,4115.23000,0.62,24.69407,1531.03,4090.53593,GENERAL,156,156,
BUY,1569.36,4127.22000,0.87,18.03857,1569.36,4109.18143,GENERAL,158,158,
SELL,1606.15,4126.60000,1.63,9.85371,1606.15,4136.45371,GENERAL,160,160,
SELL,1629.84,4125.44000,1.50,10.86561,1629.84,4136.30561,GENERAL,162,162,
SELL,1708.69,4118.63000,1.49,11.46771,1708.69,4130.09771,GENERAL,164,164,
BUY,1781.64,4064.86000,0.60,29.69396,1781.64,4035.16604,GENERAL,166,166,
SELL,1826.77,4077.10000,1.00,18.26769,1826.77,4095.36769,GENERAL,168,168,
SELL,1877.35,4071.02000,1.79,10.48800,1877.35,4081.50800,GENERAL,170,170,
SELL,1668.18,4066.36000,0.80,20.85223,1668.18,4087.21223,GENERAL,172,172,
SELL,1746.40,4123.10000,0.93,18.77846,1746.40,4141.87846,GENERAL,174,174,
BUY,1750.90,4084.21000,0.65,26.93696,1750.90,4057.27304,BREAKOUT,176,176,
SELL,1600.50,4067.25000,1.33,12.03381,1600.50,4079.28381,GENERAL,178,178,
SELL,1755.92,4061.87000,0.94,18.67997,1755.92,4080.54997,GENERAL,180,180,
SELL,1791.08,4019.62000,1.36,13.16966,1791.08,4032.78966,GENERAL,182,182,
SELL,1838.10,4020.15000,1.46,12.58971,1838.10,4032.73971,GENERAL,184,184,
SELL,1896.73,4015.23000,1.59,11.92907,1896.73,4027.15907,GENERAL,186,186,
BUY,1683.33,4079.81000,0.24,70.13876,1683.33,4009.67124,BREAKOUT,188,188,
SELL,1529.89,3980.87000,1.24,12.33784,1529.89,3993.20784,GENERAL,190,190,
