campaign_id,direction,setup_tag,num_positions,num_core,num_pyramid,campaign_open_time,campaign_close_time,total_realized_profit_usd,core_only_profit_usd,pyramid_only_profit_usd,campaign_result,campaign_peak_floating_usd,campaign_mfe_usd,campaign_mae_usd,campaign_given_back_usd,any_broker_sl_hit
CAMP-1,BUY,M30_CONSENSUS_CORE_1779087600,1,1,0,2026.05.18 07:03:30,2026.05.18 10:32:58,247.45,247.45,0,WIN,451.15,451.15,-607.25,202.65,False
CAMP-2,SELL,M30_CONSENSUS_CORE_1779111000,1,1,0,2026.05.18 13:33:31,2026.05.18 13:35:11,207.93,207.93,0,WIN,364.53,364.53,-38.28,148.77,True
CAMP-3,SELL,M30_CONSENSUS_CORE_1779112800,1,1,0,2026.05.18 14:03:30,2026.05.18 14:09:32,184.08,184.08,0,WIN,338.00,338.00,-16.64,144.56,False
CAMP-4,SELL,M30_CONSENSUS_CORE_1779114600,1,1,0,2026.05.18 14:33:00,2026.05.18 14:39:23,-1061.97,-1061.97,0,LOSS,64.61,64.61,-1013.74,1078.35,True
CAMP-5,SELL,M30_CONSENSUS_CORE_1779116400,1,1,0,2026.05.18 15:03:00,2026.05.18 15:46:00,-959.2,-959.2,0,LOSS,128.40,128.40,-953.60,1082.00,True
CAMP-6,BUY,M30_CONSENSUS_CORE_1779134400,1,1,0,2026.05.18 20:03:30,2026.05.18 22:03:50,226.8,226.8,0,WIN,415.80,415.80,-667.80,186.20,False
CAMP-7,BUY,M30_CONSENSUS_CORE_1779143400,2,1,1,2026.05.18 22:33:00,2026.05.19 01:02:10,408.44,318.68,89.76,WIN,579.03,579.03,-51.88,67.20,False
CAMP-8,SELL,M30_CONSENSUS_CORE_1779163200,2,1,1,2026.05.19 04:03:22,2026.05.19 05:54:26,390.56,313.72,76.84,WIN,558.08,558.08,-599.68,165.60,False
CAMP-9,BUY,M30_CONSENSUS_CORE_1779181200,1,1,0,2026.05.19 09:03:30,2026.05.19 09:13:13,293.19,293.19,0,WIN,283.62,283.62,-263.61,0.00,False
CAMP-10,BUY,M30_CONSENSUS_CORE_1779183000,1,1,0,2026.05.19 09:33:00,2026.05.19 10:09:13,306.91,306.91,0,WIN,290.93,290.93,-193.17,1.41,False
CAMP-11,BUY,M30_CONSENSUS_CORE_1779188400,1,1,0,2026.05.19 11:03:00,2026.05.19 11:28:26,-1019.28,-1019.28,0,LOSS,91.14,91.14,-1016.80,1107.94,True
CAMP-12,BUY,M30_CONSENSUS_CORE_1779199200,1,1,0,2026.05.19 14:03:30,2026.05.19 16:07:26,-896.61,-896.61,0,LOSS,4.95,4.95,-891.66,896.28,True
CAMP-13,SELL,M30_CONSENSUS_CORE_1779294600,2,1,1,2026.05.20 16:33:00,2026.05.20 17:03:42,339.45,290.69,48.76,WIN,488.57,488.57,-235.91,146.56,False
CAMP-14,BUY,M30_CONSENSUS_CORE_1779363000,2,1,1,2026.05.21 11:33:30,2026.05.21 12:24:04,307.78,294.1,13.68,WIN,440.81,440.81,-159.80,131.44,False
CAMP-15,BUY,M30_CONSENSUS_CORE_1779382800,1,1,0,2026.05.21 17:03:30,2026.05.21 19:13:12,214.72,214.72,0,WIN,348.48,348.48,-424.32,128.64,True
CAMP-16,BUY,M30_CONSENSUS_CORE_1779391800,1,1,0,2026.05.21 19:33:30,2026.05.21 20:11:56,339.32,339.32,0,WIN,485.18,485.18,-113.22,143.14,False
CAMP-17,BUY,M30_CONSENSUS_CORE_1779397200,1,1,0,2026.05.21 21:03:00,2026.05.22 17:01:46,-917.91,-917.91,0,LOSS,32.97,32.97,-917.41,950.38,True
CAMP-18,SELL,M30_CONSENSUS_CORE_1779697800,1,1,0,2026.05.25 08:33:00,2026.05.25 09:06:06,200.85,200.85,0,WIN,333.45,333.45,-349.05,119.60,True
CAMP-19,BUY,M30_CONSENSUS_CORE_1779703200,1,1,0,2026.05.25 10:03:00,2026.05.25 13:25:23,327.5,327.5,0,WIN,472.50,472.50,-588.50,130.50,False
CAMP-20,BUY,M30_CONSENSUS_CORE_1779793200,1,1,0,2026.05.26 11:03:00,2026.05.26 12:32:26,-901.0,-901.0,0,LOSS,100.50,100.50,-888.00,988.50,True
CAMP-21,SELL,M30_CONSENSUS_CORE_1779858000,1,1,0,2026.05.27 05:03:30,2026.05.27 05:18:04,164.26,164.26,0,WIN,301.86,301.86,-24.08,128.14,False
CAMP-22,SELL,M30_CONSENSUS_CORE_1779865200,1,1,0,2026.05.27 07:03:00,2026.05.27 07:49:28,-835.94,-835.94,0,LOSS,29.40,29.40,-823.20,851.13,True
CAMP-23,SELL,M30_CONSENSUS_CORE_1779868800,1,1,0,2026.05.27 08:03:00,2026.05.27 08:16:34,139.16,139.16,0,WIN,266.96,266.96,-336.54,107.92,False
CAMP-24,SELL,M30_CONSENSUS_CORE_1779935400,1,1,0,2026.05.28 02:33:00,2026.05.28 02:53:12,163.2,163.2,0,WIN,281.28,281.28,-205.92,103.20,False
CAMP-25,SELL,M30_CONSENSUS_CORE_1779937200,1,1,0,2026.05.28 03:03:00,2026.05.28 03:06:40,156.94,156.94,0,WIN,285.56,285.56,-15.34,114.46,True
CAMP-26,SELL,M30_CONSENSUS_CORE_1780005600,1,1,0,2026.05.28 22:03:30,2026.05.29 01:10:00,260.52,260.52,0,WIN,325.03,325.03,-111.77,63.96,False
CAMP-27,SELL,M30_CONSENSUS_CORE_1780018200,1,1,0,2026.05.29 01:33:00,2026.05.29 01:52:37,127.28,127.28,0,WIN,265.74,265.74,-87.72,110.08,False
CAMP-28,BUY,M30_CONSENSUS_CORE_1780039800,1,1,0,2026.05.29 07:33:00,2026.05.29 08:00:53,152.26,152.26,0,WIN,282.44,282.44,-51.06,118.22,False
CAMP-29,BUY,M30_CONSENSUS_CORE_1780041600,1,1,0,2026.05.29 08:03:30,2026.05.29 09:01:47,320.88,320.88,0,WIN,460.32,460.32,-341.88,132.72,False
CAMP-30,SELL,M30_CONSENSUS_CORE_1780068600,2,1,1,2026.05.29 15:33:00,2026.05.29 16:40:14,-1269.13,-885.04,-384.09,LOSS,324.39,324.39,-882.59,1201.29,True
CAMP-31,BUY,M30_CONSENSUS_CORE_1780297200,1,1,0,2026.06.01 07:03:30,2026.06.01 08:25:25,167.04,167.04,0,WIN,282.24,282.24,-650.24,104.32,False
CAMP-32,BUY,M30_CONSENSUS_CORE_1780302600,1,1,0,2026.06.01 08:33:25,2026.06.01 08:39:39,322.92,322.92,0,WIN,468.00,468.00,-259.74,140.40,False
CAMP-33,BUY,M30_CONSENSUS_CORE_1780340400,3,1,2,2026.06.01 19:03:00,2026.06.01 20:43:34,461.48,343.0,118.48,WIN,663.94,663.94,-322.56,190.80,False
CAMP-34,BUY,M30_CONSENSUS_CORE_1780347600,1,1,0,2026.06.01 21:03:30,2026.06.01 22:03:00,22.95,22.95,0,WIN,150.30,150.30,-91.35,127.35,False
CAMP-35,SELL,M30_CONSENSUS_CORE_1780376400,1,1,0,2026.06.02 05:03:00,2026.06.02 05:09:51,147.2,147.2,0,WIN,270.94,270.94,-27.14,118.22,False
CAMP-36,SELL,M30_CONSENSUS_CORE_1780401600,1,1,0,2026.06.02 12:03:00,2026.06.02 12:32:54,150.48,150.48,0,WIN,286.71,286.71,-499.89,126.54,False
CAMP-37,BUY,M30_CONSENSUS_CORE_1780439400,1,1,0,2026.06.02 22:33:00,2026.06.03 01:01:24,163.52,163.52,0,WIN,297.40,297.40,-598.31,124.83,False
CAMP-38,BUY,M30_CONSENSUS_CORE_1780450200,1,1,0,2026.06.03 01:33:00,2026.06.03 02:10:55,-913.5,-913.5,0,LOSS,63.63,63.63,-871.92,935.55,True
CAMP-39,BUY,M30_CONSENSUS_CORE_1780455600,3,1,2,2026.06.03 03:03:30,2026.06.03 04:01:49,460.74,517.56,-56.82,WIN,953.22,953.22,-219.00,1172.22,True
CAMP-40,BUY,M30_CONSENSUS_CORE_1780462800,1,1,0,2026.06.03 05:03:30,2026.06.03 05:11:09,201.28,201.28,0,WIN,374.00,374.00,-57.80,136.00,False
CAMP-41,BUY,M30_CONSENSUS_CORE_1780464600,1,1,0,2026.06.03 05:33:30,2026.06.03 05:37:49,266.2,266.2,0,WIN,255.20,255.20,-17.60,0.00,False
CAMP-42,SELL,M30_CONSENSUS_CORE_1780545600,1,1,0,2026.06.04 04:03:30,2026.06.04 04:20:18,-893.75,-893.75,0,LOSS,135.20,135.20,-871.65,1006.85,True
CAMP-43,SELL,M30_CONSENSUS_CORE_1780594200,2,1,1,2026.06.04 17:33:00,2026.06.04 17:50:25,301.59,244.72,56.87,WIN,433.59,433.59,-53.77,129.00,False
CAMP-44,BUY,M30_CONSENSUS_CORE_1780601400,2,1,1,2026.06.04 19:33:30,2026.06.05 01:00:05,-1186.38,-847.55,-338.83,LOSS,205.89,205.89,-967.67,1037.27,True
CAMP-45,SELL,M30_CONSENSUS_CORE_1780673400,1,1,0,2026.06.05 15:32:41,2026.06.05 15:37:03,215.0,215.0,0,WIN,321.00,321.00,-89.25,96.75,False
CAMP-46,SELL,M30_CONSENSUS_CORE_1780939800,1,1,0,2026.06.08 17:33:00,2026.06.09 02:54:14,130.56,130.56,0,WIN,237.70,237.70,-564.72,105.60,False
CAMP-47,SELL,M30_CONSENSUS_CORE_1780990200,1,1,0,2026.06.09 07:33:00,2026.06.09 08:32:30,-757.35,-757.35,0,LOSS,87.75,87.75,-756.45,844.20,True
CAMP-48,SELL,M30_CONSENSUS_CORE_1780999200,1,1,0,2026.06.09 10:03:30,2026.06.09 10:05:21,116.9,116.9,0,WIN,217.00,217.00,-130.90,92.40,False
CAMP-49,SELL,M30_CONSENSUS_CORE_1781001000,1,1,0,2026.06.09 10:33:30,2026.06.09 15:47:43,-687.8,-687.8,0,LOSS,185.44,185.44,-680.20,865.26,True
CAMP-50,SELL,M30_CONSENSUS_CORE_1781022600,1,1,0,2026.06.09 16:33:00,2026.06.09 16:42:29,104.72,104.72,0,WIN,193.12,193.12,-124.78,86.70,False
CAMP-51,SELL,M30_CONSENSUS_CORE_1781168400,1,1,0,2026.06.11 09:03:30,2026.06.11 09:08:24,187.32,187.32,0,WIN,280.84,280.84,-5.32,90.44,True
CAMP-52,SELL,M30_CONSENSUS_CORE_1781170200,1,1,0,2026.06.11 09:33:00,2026.06.11 11:01:16,-641.94,-641.94,0,LOSS,103.74,103.74,-640.90,744.64,True
