ticket,campaign_id,leg_role,direction,volume_lots,entry_time,entry_price,structural_sl_price,sl_distance_price,risk_usd,exit_time,exit_price,exit_reason_ea,exit_authority,exit_broker_comment,hold_minutes,commission,swap,realized_profit_usd,realized_r,mfe_r,mfe_usd,mae_r,mae_usd,mfe_capture_pct,checkpoint_0_20R,checkpoint_0_30R,checkpoint_0_40R,checkpoint_0_50R,checkpoint_0_75R,checkpoint_1_00R,result,entry_data_source,exit_data_source
2,CAMP-1,CORE,BUY,0.35,2026.05.18 07:03:30,4547.03,4518.87,28.16,985.6,2026.05.18 10:32:58,4554.1,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,,209.47,0.0,0.0,247.45,0.251,0.458,451.15,-0.616,-607.25,54.8,207.90,296.10,394.45,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
4,CAMP-2,CORE,SELL,0.87,2026.05.18 13:33:31,4536.22,4547.87,11.65,1013.55,2026.05.18 13:35:11,4533.83,EXTERNAL_CLOSE_BROKER_SL,BROKER_SL,sl 4533.78,1.67,0.0,0.0,207.93,0.213,0.36,364.53,-0.038,-38.28,59.2,202.71,304.50,n/a,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
6,CAMP-3,CORE,SELL,1.04,2026.05.18 14:03:30,4540.47,4550.45,9.98,1037.92,2026.05.18 14:09:32,4538.7,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,,6.03,0.0,0.0,184.08,0.177,0.326,338.0,-0.016,-16.64,54.3,217.36,332.80,n/a,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
8,CAMP-4,CORE,SELL,0.91,2026.05.18 14:33:00,4539.15,4550.77,11.62,1057.42,2026.05.18 14:39:23,4550.82,EXTERNAL_CLOSE_BROKER_SL,BROKER_SL,sl 4550.77,6.38,0.0,0.0,-1061.97,-0.959,0.061,64.61,-0.959,-1013.74,-1572.1,n/a,n/a,n/a,n/a,n/a,n/a,LOSS,EXACT_JOURNAL,EXACT_JOURNAL
10,CAMP-5,CORE,SELL,0.4,2026.05.18 15:03:00,4548.64,4572.52,23.88,955.2,2026.05.18 15:46:00,4572.62,EXTERNAL_CLOSE_BROKER_SL,BROKER_SL,sl 4572.52,43.0,0.0,0.0,-959.2,-0.998,0.134,128.4,-0.998,-953.6,-744.8,n/a,n/a,n/a,n/a,n/a,n/a,LOSS,EXACT_JOURNAL,EXACT_JOURNAL
12,CAMP-6,CORE,BUY,0.35,2026.05.18 20:03:30,4553.16,4528.54,24.62,861.7,2026.05.18 22:03:50,4559.64,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,,120.33,0.0,0.0,226.8,0.263,0.483,415.8,-0.775,-667.8,54.5,173.25,259.00,353.85,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
14,CAMP-7,CORE,BUY,0.31,2026.05.18 22:33:00,4556.67,4528.25,28.42,881.02,2026.05.19 01:02:10,4566.95,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,,149.17,0.0,-3.91,318.68,0.438,0.487,428.85,-0.05,-43.71,89.9,176.70,297.72,385.14,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
15,CAMP-7,PYRAMID,BUY,0.17,2026.05.18 22:48:51,4561.67,4542.66,19.01,323.17,2026.05.19 01:02:10,4566.95,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,,133.32,0.0,-2.14,89.76,0.391,0.465,150.18,-0.227,-73.27,84.1,78.27,126.21,132.84,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
18,CAMP-8,CORE,SELL,0.31,2026.05.19 04:03:22,4562.14,4591.76,29.62,918.22,2026.05.19 05:54:26,4552.02,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,,111.07,0.0,0.0,313.72,0.343,0.459,421.91,-0.355,-325.81,74.7,187.55,276.52,372.00,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
19,CAMP-8,PYRAMID,SELL,0.17,2026.05.19 04:24:23,4556.54,4577.78,21.24,361.08,2026.05.19 05:54:26,4552.02,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,,90.05,0.0,0.0,76.84,0.215,0.377,136.17,-0.758,-273.87,57.0,75.65,108.80,n/a,n/a,n/a,n/a,WIN,EXACT_JOURNAL,EXACT_JOURNAL
