ticket,campaign_id,direction,entry_time,entry_price,structural_sl_price,sl_distance_price,risk_usd,exit_time,exit_price,exit_reason_ea,exit_authority,realized_profit_usd,realized_r,PEAK_R_WHILE_OPEN,GIVEBACK_BEFORE_EXIT_R,POST_EXIT_TOTAL_R_5M,MISSED_R_5M,POST_EXIT_TOTAL_R_10M,MISSED_R_10M,POST_EXIT_TOTAL_R_15M,MISSED_R_15M,POST_EXIT_TOTAL_R_20M,MISSED_R_20M,POST_EXIT_TOTAL_R_30M,MISSED_R_30M,POST_EXIT_TOTAL_R_60M,MISSED_R_60M,MAX_ADVERSE_R_AFTER_10M,MAX_ADVERSE_R_AFTER_20M,returned_to_entry_10m,returned_to_entry_20m,sl_crossed_10m,sl_crossed_20m,exit_classification
2,CAMP-1,BUY,2026.05.18 07:03:30,4547.03,4518.87,28.16,985.6,2026.05.18 10:32:58,4554.1,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,247.45,0.251,0.458,0.20700000000000002,0.32811038961038963,0.07711038961038962,0.32811038961038963,0.07711038961038962,0.32811038961038963,0.07711038961038962,,,0.32811038961038963,0.07711038961038962,0.32811038961038963,0.07711038961038962,0.17146915584415584,,False,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
4,CAMP-2,SELL,2026.05.18 13:33:31,4536.22,4547.87,11.65,1013.55,2026.05.18 13:35:11,4533.83,EXTERNAL_CLOSE_BROKER_SL,BROKER_SL,207.93,0.213,0.36,0.147,0.22681283607123476,0.01381283607123477,0.22681283607123476,0.01381283607123477,0.22681283607123476,0.01381283607123477,,,0.22681283607123476,0.01381283607123477,0.5533877460411425,0.3403877460411425,0.9609787380987618,,True,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
6,CAMP-3,SELL,2026.05.18 14:03:30,4540.47,4550.45,9.98,1037.92,2026.05.18 14:09:32,4538.7,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,184.08,0.177,0.326,0.14900000000000002,1.061461230152613,0.8844612301526129,1.061461230152613,0.8844612301526129,1.061461230152613,0.8844612301526129,,,1.061461230152613,0.8844612301526129,1.061461230152613,0.8844612301526129,0.1618621859102821,,False,,False,,F_SEVERELY_EARLY_EXIT
12,CAMP-6,BUY,2026.05.18 20:03:30,4553.16,4528.54,24.62,861.7,2026.05.18 22:03:50,4559.64,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,226.8,0.263,0.483,0.21999999999999997,0.3105803643959615,0.04758036439596147,0.3105803643959615,0.04758036439596147,0.3105803643959615,0.04758036439596147,,,0.3105803643959615,0.04758036439596147,0.5450006962980156,0.28200069629801555,0.34118602761982125,,True,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
14,CAMP-7,BUY,2026.05.18 22:33:00,4556.67,4528.25,28.42,881.02,2026.05.19 01:02:10,4566.95,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,318.68,0.438,0.487,0.04899999999999999,0.6218777780300107,0.18387777803001068,0.6706848425688406,0.23268484256884067,0.7081414269823614,0.2701414269823614,,,0.7081414269823614,0.2701414269823614,0.8636430046990988,0.42564300469909877,0.0,,False,,False,,D_SLIGHTLY_EARLY_EXIT
18,CAMP-8,SELL,2026.05.19 04:03:22,4562.14,4591.76,29.62,918.22,2026.05.19 05:54:26,4552.02,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,313.72,0.343,0.459,0.11599999999999999,0.5401205157805319,0.19712051578053189,0.6250674783820871,0.28206747838208707,0.6250674783820871,0.28206747838208707,,,0.6250674783820871,0.28206747838208707,0.6250674783820871,0.28206747838208707,0.0,,False,,False,,E_MEANINGFULLY_EARLY_EXIT
22,CAMP-9,BUY,2026.05.19 09:03:30,4539.12,4528.04,11.08,963.96,2026.05.19 09:13:13,4542.49,R_EXIT_RUNNER_CONTINUATION_FAILED,EA_MANAGED_CLOSE,293.19,0.304,0.304,0.0,0.6183283953691024,0.31432839536910245,1.0986387816921863,0.7946387816921864,1.3444996057927714,1.0404996057927713,,,1.3444996057927714,1.0404996057927713,1.4669113241213327,1.1629113241213327,0.13071081787626043,,False,,False,,F_SEVERELY_EARLY_EXIT
24,CAMP-10,BUY,2026.05.19 09:33:00,4547.24,4526.3,20.94,984.18,2026.05.19 10:09:13,4553.77,R_EXIT_RUNNER_CONTINUATION_FAILED,EA_MANAGED_CLOSE,306.91,0.312,0.312,0.0,0.3882055721514357,0.07620557215143571,0.3882055721514357,0.07620557215143571,0.3882055721514357,0.07620557215143571,,,0.3882055721514357,0.07620557215143571,0.5792275396777012,0.26722753967770124,0.3353045174663172,,True,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
30,CAMP-13,SELL,2026.05.20 16:33:00,4490.43,4510.59,20.16,826.56,2026.05.20 17:03:42,4483.34,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,290.69,0.354,0.467,0.11300000000000004,0.6879140534262486,0.3339140534262486,1.1585392953929539,0.804539295392954,1.1585392953929539,0.804539295392954,,,1.1585392953929539,0.804539295392954,1.1585392953929539,0.804539295392954,0.02782617111885405,,False,,False,,F_SEVERELY_EARLY_EXIT
34,CAMP-14,BUY,2026.05.21 11:33:30,4531.36,4506.61,24.75,841.5,2026.05.21 12:24:04,4540.01,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,294.1,0.351,0.451,0.10000000000000003,0.36050683303624476,0.009506833036244802,0.4710237670825906,0.12002376708259062,0.4710237670825906,0.12002376708259062,,,0.4710237670825906,0.12002376708259062,0.4710237670825906,0.12002376708259062,0.21865715983363043,,False,,False,,D_SLIGHTLY_EARLY_EXIT
38,CAMP-15,BUY,2026.05.21 17:03:30,4509.95,4482.66,27.29,873.28,2026.05.21 19:13:12,4516.66,EXTERNAL_CLOSE_BROKER_SL,BROKER_SL,214.72,0.252,0.399,0.14700000000000002,0.2863532429461341,0.034353242946134115,0.33444778307072187,0.08244778307072188,0.33444778307072187,0.08244778307072188,,,0.35391462074019786,0.10191462074019787,0.8073774276291682,0.5553774276291682,0.07443202638329058,,False,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
40,CAMP-16,BUY,2026.05.21 19:33:30,4517.51,4491.08,26.43,898.62,2026.05.21 20:11:56,4527.49,R_PROFIT_GUARANTEE_FLOOR_BREACH,EA_MANAGED_CLOSE,339.32,0.378,0.54,0.16200000000000003,0.7441169348556675,0.3661169348556676,1.0902031559502348,0.7122031559502348,1.0946544256749238,0.7166544256749238,,,1.1981464467739422,0.8201464467739422,1.5831812779595378,1.2051812779595379,0.16024571008880284,,False,,False,,F_SEVERELY_EARLY_EXIT
44,CAMP-18,SELL,2026.05.25 08:33:00,4555.77,4568.92,13.15,854.75,2026.05.25 09:06:06,4552.68,EXTERNAL_CLOSE_BROKER_SL,BROKER_SL,200.85,0.25,0.39,0.14,0.35061421468265574,0.10061421468265574,0.35061421468265574,0.10061421468265574,0.35061421468265574,0.10061421468265574,,,0.35061421468265574,0.10061421468265574,0.35061421468265574,0.10061421468265574,0.129862532904358,,False,,False,,D_SLIGHTLY_EARLY_EXIT
46,CAMP-19,BUY,2026.05.25 10:03:00,4564.29,4546.83,17.46,873.0,2026.05.25 13:25:23,4570.84,R_PROFIT_GUARANTEE_FLOOR_BREACH,EA_MANAGED_CLOSE,327.5,0.375,0.541,0.16600000000000004,0.4368556701030928,0.061855670103092786,0.513602520045819,0.13860252004581902,0.513602520045819,0.13860252004581902,,,0.513602520045819,0.13860252004581902,0.6327319587628866,0.25773195876288657,0.044673539518900345,,False,,False,,D_SLIGHTLY_EARLY_EXIT
50,CAMP-21,SELL,2026.05.27 05:03:30,4506.31,4525.15,18.84,810.12,2026.05.27 05:18:04,4502.49,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,164.26,0.203,0.373,0.16999999999999998,0.3708763639954575,0.16787636399545747,0.3708763639954575,0.16787636399545747,0.3708763639954575,0.16787636399545747,,,0.43012684540561896,0.22712684540561892,0.43012684540561896,0.22712684540561892,0.14812620352540365,,False,,False,,D_SLIGHTLY_EARLY_EXIT
54,CAMP-23,SELL,2026.05.27 08:03:00,4509.38,4519.92,10.54,748.34,2026.05.27 08:16:34,4507.42,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,139.16,0.186,0.357,0.17099999999999999,0.48800176390410777,0.30200176390410777,0.48800176390410777,0.30200176390410777,0.48800176390410777,0.30200176390410777,,,1.661265253761659,1.475265253761659,1.661265253761659,1.475265253761659,0.045433893684688774,,False,,False,,E_MEANINGFULLY_EARLY_EXIT
56,CAMP-24,SELL,2026.05.28 02:33:00,4449.98,4465.8,15.82,759.36,2026.05.28 02:53:12,4446.58,R_PROFIT_GUARANTEE_FLOOR_BREACH,EA_MANAGED_CLOSE,163.2,0.215,0.37,0.155,0.3361546565528866,0.12115465655288664,0.3361546565528866,0.12115465655288664,0.3361546565528866,0.12115465655288664,,,0.3717109144542773,0.1567109144542773,0.38487989886219975,0.16987989886219976,0.38190054782975136,,True,,False,,B_CORRECT_EXIT_RETURNED_TO_ENTRY
58,CAMP-25,SELL,2026.05.28 03:03:00,4452.2,4465.44,13.24,781.16,2026.05.28 03:06:40,4449.54,EXTERNAL_CLOSE_BROKER_SL,BROKER_SL,156.94,0.219,0.366,0.147,0.4993522965845666,0.28035229658456656,0.6299273388294332,0.41092733882943316,0.6299273388294332,0.41092733882943316,,,0.6465692559782887,0.4275692559782887,0.6465692559782887,0.4275692559782887,0.048645603973577756,,False,,False,,E_MEANINGFULLY_EARLY_EXIT
60,CAMP-26,SELL,2026.05.28 22:03:30,4500.59,4520.81,20.22,788.58,2026.05.29 01:10:00,4493.91,R_EXIT_RUNNER_CONTINUATION_FAILED,EA_MANAGED_CLOSE,260.52,0.328,0.412,0.08399999999999996,0.38886890359887394,0.060868903598873925,0.38886890359887394,0.060868903598873925,0.38886890359887394,0.060868903598873925,,,0.38886890359887394,0.060868903598873925,0.47129554388901573,0.1432955438890157,0.06974561870704303,,False,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
62,CAMP-27,SELL,2026.05.29 01:33:00,4495.73,4505.27,9.54,820.44,2026.05.29 01:52:37,4494.25,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,127.28,0.155,0.324,0.169,0.2927309736239091,0.13773097362390913,0.49384257227828965,0.3388425722782897,0.49384257227828965,0.3388425722782897,,,0.49384257227828965,0.3388425722782897,0.6888598800643557,0.5338598800643557,0.05241090146750524,,False,,False,,E_MEANINGFULLY_EARLY_EXIT
64,CAMP-28,BUY,2026.05.29 07:33:00,4509.32,4491.13,18.19,836.74,2026.05.29 08:00:53,4512.63,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,152.26,0.182,0.338,0.15600000000000003,0.182,0.0,0.182,0.0,0.182,0.0,,,0.182,0.0,0.6899236082893132,0.5079236082893133,0.16851112651480746,,False,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
66,CAMP-29,BUY,2026.05.29 08:03:30,4510.84,4490.9,19.94,837.48,2026.05.29 09:01:47,4518.48,R_PROFIT_GUARANTEE_FLOOR_BREACH,EA_MANAGED_CLOSE,320.88,0.383,0.55,0.16700000000000004,0.5859899221473945,0.20298992214739456,0.5859899221473945,0.20298992214739456,0.5859899221473945,0.20298992214739456,,,0.5859899221473945,0.20298992214739456,0.6683799493719254,0.2853799493719253,0.2614987820604671,,False,,False,,D_SLIGHTLY_EARLY_EXIT
72,CAMP-31,BUY,2026.06.01 07:03:30,4518.75,4506.94,11.81,755.84,2026.06.01 08:25:25,4521.36,R_PROFIT_GUARANTEE_FLOOR_BREACH,EA_MANAGED_CLOSE,167.04,0.221,0.373,0.152,0.4168086367485182,0.1958086367485182,0.4168086367485182,0.1958086367485182,0.4168086367485182,0.1958086367485182,,,0.5517578323454699,0.3307578323454699,0.5517578323454699,0.3307578323454699,0.7236981371718882,,True,,False,,B_CORRECT_EXIT_RETURNED_TO_ENTRY
74,CAMP-32,BUY,2026.06.01 08:33:25,4516.06,4506.11,9.95,776.1,2026.06.01 08:39:39,4520.2,R_PROFIT_GUARANTEE_FLOOR_BREACH,EA_MANAGED_CLOSE,322.92,0.416,0.603,0.187,0.5113485375595928,0.09534853755959283,0.7729127689730704,0.35691276897307045,0.9249550315680968,0.5089550315680968,,,0.9249550315680968,0.5089550315680968,0.9249550315680968,0.5089550315680968,0.4664347377915217,,True,,False,,G_MIXED_VOLATILE_AFTER_EXIT
76,CAMP-33,BUY,2026.06.01 19:03:00,4474.61,4445.99,28.62,801.36,2026.06.01 20:43:34,4486.86,BASKET_FLOOR_TRIGGERED,EA_MANAGED_CLOSE,343.0,0.436,0.561,0.12500000000000006,0.7392345013477089,0.3032345013477089,0.7392345013477089,0.3032345013477089,0.7392345013477089,0.3032345013477089,,,0.7392345013477089,0.3032345013477089,0.7392345013477089,0.3032345013477089,0.029949086552860136,,False,,False,,E_MEANINGFULLY_EARLY_EXIT
82,CAMP-34,BUY,2026.06.01 21:03:30,4486.92,4468.13,18.79,845.55,2026.06.01 22:03:00,4487.43,DIRECTION_EXCLUSIVITY_PROFITABLE_CLOSE_FIRST,EA_MANAGED_CLOSE,22.95,0.027,0.178,0.151,0.07548914907456686,0.048489149074566855,0.07548914907456686,0.048489149074566855,0.07548914907456686,0.048489149074566855,,,0.07548914907456686,0.048489149074566855,0.9731297380403289,0.9461297380403288,0.13600614984329726,,True,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
84,CAMP-35,SELL,2026.06.02 05:03:00,4478.37,4496.74,18.37,845.02,2026.06.02 05:09:51,4475.17,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,147.2,0.174,0.321,0.14700000000000002,0.23080338926889304,0.05680338926889304,0.23080338926889304,0.05680338926889304,0.23080338926889304,0.05680338926889304,,,0.23080338926889304,0.05680338926889304,0.2544714681309318,0.08047146813093181,0.37987266573572226,,True,,False,,A_CORRECT_EXIT_IMMEDIATE_REVERSAL
86,CAMP-36,SELL,2026.06.02 12:03:00,4527.15,4542.38,15.23,868.11,2026.06.02 12:32:54,4524.51,R_EXIT_GIVEBACK_45,EA_MANAGED_CLOSE,150.48,0.173,0.33,0.15700000000000003,0.2294444598034811,0.056444459803481124,0.3607642234279066,0.1877642234279066,0.3607642234279066,0.1877642234279066,,,0.3607642234279066,0.1877642234279066,0.3607642234279066,0.1877642234279066,0.15320639089516305,,False,,False,,D_SLIGHTLY_EARLY_EXIT
