section,metric,rank,ticket,entry_time,exit_time,direction,volume,value
SUMMARY,average_win_usd,,,,,,,280.162597
SUMMARY,median_win_usd,,,,,,,242.55
SUMMARY,average_loss_usd,,,,,,,-1150.516538
SUMMARY,median_loss_usd,,,,,,,-1068.58
TOP_20_BIGGEST_LOSSES,,1,542,2026.07.15 06:03:30,2026.07.15 08:11:34,BUY,1.7,-2136.9
TOP_20_BIGGEST_LOSSES,,2,530,2026.07.14 12:33:30,2026.07.14 14:24:48,SELL,1.78,-2136.0
TOP_20_BIGGEST_LOSSES,,3,514,2026.07.09 04:33:00,2026.07.09 05:26:32,SELL,1.52,-1890.88
TOP_20_BIGGEST_LOSSES,,4,544,2026.07.15 09:03:30,2026.07.15 11:13:43,BUY,1.41,-1890.81
TOP_20_BIGGEST_LOSSES,,5,482,2026.07.06 11:03:00,2026.07.06 11:46:18,BUY,1.33,-1869.98
TOP_20_BIGGEST_LOSSES,,6,554,2026.07.15 16:33:00,2026.07.15 19:35:13,BUY,0.6,-1842.6
TOP_20_BIGGEST_LOSSES,,7,560,2026.07.16 15:03:30,2026.07.16 15:16:17,BUY,0.71,-1767.9
TOP_20_BIGGEST_LOSSES,,8,484,2026.07.06 14:03:00,2026.07.06 15:42:50,BUY,0.81,-1678.32
TOP_20_BIGGEST_LOSSES,,9,485,2026.07.06 14:20:11,2026.07.06 15:43:35,BUY,0.67,-1668.3
TOP_20_BIGGEST_LOSSES,,10,562,2026.07.16 15:33:30,2026.07.16 15:40:56,BUY,1.07,-1605.0
TOP_20_BIGGEST_LOSSES,,11,68,2026.04.30 07:33:30,2026.04.30 08:32:08,SELL,0.85,-1507.9
TOP_20_BIGGEST_LOSSES,,12,69,2026.04.30 07:38:31,2026.04.30 08:32:08,SELL,0.82,-1497.32
TOP_20_BIGGEST_LOSSES,,13,98,2026.05.05 08:03:30,2026.05.05 08:08:26,SELL,1.61,-1386.21
TOP_20_BIGGEST_LOSSES,,14,445,2026.06.30 15:59:13,2026.06.30 17:09:51,SELL,0.39,-1291.29
TOP_20_BIGGEST_LOSSES,,15,80,2026.05.01 05:33:00,2026.05.01 07:30:20,BUY,0.9,-1287.0
TOP_20_BIGGEST_LOSSES,,16,100,2026.05.05 09:33:00,2026.05.05 10:13:39,SELL,0.85,-1226.55
TOP_20_BIGGEST_LOSSES,,17,427,2026.06.29 02:33:37,2026.06.29 06:22:24,SELL,0.56,-1224.16
TOP_20_BIGGEST_LOSSES,,18,390,2026.06.22 22:03:30,2026.06.23 04:19:04,BUY,0.61,-1199.63
TOP_20_BIGGEST_LOSSES,,19,391,2026.06.23 04:02:35,2026.06.23 04:19:02,BUY,0.54,-1195.02
TOP_20_BIGGEST_LOSSES,,20,138,2026.05.08 05:03:43,2026.05.08 10:25:35,BUY,0.36,-1134.72
TOP_20_SMALLEST_WINS,,1,413,2026.06.26 07:56:03,2026.06.26 08:10:04,BUY,0.38,0.0
TOP_20_SMALLEST_WINS,,2,157,2026.05.12 14:41:57,2026.05.12 14:44:55,BUY,0.38,1.52
TOP_20_SMALLEST_WINS,,3,367,2026.06.18 10:35:56,2026.06.18 10:36:11,SELL,0.55,1.65
TOP_20_SMALLEST_WINS,,4,39,2026.04.27 05:39:45,2026.04.27 05:41:04,BUY,0.49,2.45
TOP_20_SMALLEST_WINS,,5,426,2026.06.29 01:33:30,2026.06.29 07:34:35,SELL,0.39,2.73
TOP_20_SMALLEST_WINS,,6,169,2026.05.13 18:38:43,2026.05.13 18:41:00,BUY,0.3,3.0
TOP_20_SMALLEST_WINS,,7,439,2026.06.30 11:41:07,2026.06.30 11:51:25,SELL,0.43,4.3
TOP_20_SMALLEST_WINS,,8,255,2026.05.28 02:54:10,2026.05.28 03:15:12,SELL,0.36,6.84
TOP_20_SMALLEST_WINS,,9,493,2026.07.08 05:26:14,2026.07.08 05:27:56,BUY,0.44,8.8
TOP_20_SMALLEST_WINS,,10,343,2026.06.16 17:18:51,2026.06.16 17:21:26,SELL,0.19,11.4
TOP_20_SMALLEST_WINS,,11,215,2026.05.20 16:40:09,2026.05.20 16:42:00,SELL,0.23,12.88
TOP_20_SMALLEST_WINS,,12,399,2026.06.23 21:08:10,2026.06.23 21:21:26,SELL,0.87,13.92
TOP_20_SMALLEST_WINS,,13,478,2026.07.03 09:04:48,2026.07.03 09:13:14,SELL,0.83,15.77
TOP_20_SMALLEST_WINS,,14,95,2026.05.05 07:20:41,2026.05.05 07:25:11,SELL,0.84,18.48
TOP_20_SMALLEST_WINS,,15,527,2026.07.14 12:00:09,2026.07.14 12:00:32,SELL,1.83,25.62
TOP_20_SMALLEST_WINS,,16,223,2026.05.21 12:13:27,2026.05.21 12:20:00,BUY,0.4,27.2
TOP_20_SMALLEST_WINS,,17,278,2026.06.01 21:03:30,2026.06.01 22:03:00,BUY,0.54,27.54
TOP_20_SMALLEST_WINS,,18,259,2026.05.29 01:11:35,2026.05.29 02:00:59,SELL,0.67,32.16
TOP_20_SMALLEST_WINS,,19,203,2026.05.19 04:24:23,2026.05.19 05:16:30,SELL,0.18,32.94
TOP_20_SMALLEST_WINS,,20,127,2026.05.08 02:53:02,2026.05.08 03:00:34,BUY,0.34,34.68
