ticket,campaign_id,leg_role,direction,entry_time,exit_time,entry_regime,frozen_owner_exit_profile,exit_authority,exit_reason,volume,entry_price,original_structural_sl,original_1r_distance,original_risk_usd,realized_profit_usd,realized_r,peak_r_while_open,mae_r,owner_floor_armed_true_false,owner_first_trigger_time,owner_first_floor_r,owner_adaptive_trigger_time,owner_max_required_floor_r,expected_min_exit_r,actual_exit_r,floor_violation_true_false,floor_violation_r_amount,floor_violation_usd_amount,broker_sl_modify_attempted,broker_sl_modify_success,broker_sl_modify_failed_reason,emergency_floor_breach_close_attempted,emergency_floor_breach_close_success,lower_exit_attempt_rejected_true_false,lower_exit_attempt_authority,tracking_state_present_at_exit,r_exit_state_present_at_exit,campaign_state_present_at_exit,basket_state_present_at_exit,audit_scope_note
26,CAMP-10,CORE,SELL,2026.04.22 11:33:30,2026.04.22 13:03:51,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.86,4753.64,4764.80399,11.16399,960.1,270.9,0.282157,0.488176,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.30,,0.3,0.3,0.282157,true,0.017843,17.13,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
28,CAMP-11,CORE,SELL,2026.04.22 13:33:30,2026.04.22 14:42:18,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,R_PROFIT_GUARANTEE_FLOOR_BREACH,1.16,4756.19,4764.75834,8.56834,993.92,437.32,0.439994,0.667577,-0.564,true,DATA_UNAVAILABLE,0.30,,0.46730389999999994,0.467304,0.439994,true,0.02731,27.14,true,true,NONE_LOGGED,true,true,false,NONE_LOGGED,true,true,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
34,CAMP-14,CORE,SELL,2026.04.23 19:03:00,2026.04.23 20:10:56,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.34,4719.54,4746.9114,27.3714,930.63,270.98,0.29118,0.499061,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.30,,0.3,0.3,0.29118,true,0.00882,8.21,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
36,CAMP-15,CORE,BUY,2026.04.27 04:33:00,2026.04.27 04:51:16,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,R_PROFIT_GUARANTEE_FLOOR_BREACH,0.82,4699.7,4687.73767,11.96233,980.91,348.5,0.355283,0.511607,-0.283,true,DATA_UNAVAILABLE,0.30,,0.3581249,0.358125,0.355283,true,0.002842,2.79,true,true,NONE_LOGGED,true,true,false,NONE_LOGGED,true,true,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
56,CAMP-21,CORE,SELL,2026.04.29 03:33:30,2026.04.29 03:50:59,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,1.22,4602.01,4612.77923,10.76923,1313.84,385.52,0.293429,0.417858,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.30,,0.3,0.3,0.293429,true,0.006571,8.63,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
86,CAMP-33,CORE,SELL,2026.05.01 11:03:30,2026.05.01 11:32:02,TREND_UP,TREND_UP,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.51,4579.46,4603.04981,23.58981,1203.08,480.93,0.399749,0.558716,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.40,,0.4,0.4,0.399749,true,0.000251,0.3,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
90,CAMP-35,CORE,SELL,2026.05.04 02:03:03,2026.05.04 03:05:52,TREND_UP,TREND_UP,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.72,4616.44,4633.2826,16.8426,1212.67,473.04,0.390082,0.695855,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.40,,0.4,0.4,0.390082,true,0.009918,12.03,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
112,CAMP-44,CORE,SELL,2026.05.06 15:03:00,2026.05.06 15:15:13,TREND_UP,TREND_UP,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.25,4686.07,4722.9997,36.9297,923.24,349.25,0.378286,0.552672,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.40,,0.4,0.4,0.378286,true,0.021714,20.05,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
166,CAMP-63,CORE,BUY,2026.05.13 03:33:00,2026.05.13 03:41:02,CHOPPY,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,R_PROFIT_GUARANTEE_FLOOR_BREACH,0.97,4720.78,4712.7742,8.0058,776.56,304.58,0.392216,0.562092,-0.468,true,DATA_UNAVAILABLE,0.30,,0.3934644,0.393464,0.392216,true,0.001248,0.97,true,true,NONE_LOGGED,true,true,false,NONE_LOGGED,true,true,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
180,CAMP-69,CORE,BUY,2026.05.14 02:33:30,2026.05.14 03:01:06,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.8,4695.81,4686.80353,9.00647,720.52,199.2,0.276467,0.405263,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.30,,0.3,0.3,0.276467,true,0.023533,16.96,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
