ticket,campaign_id,leg_role,direction,entry_time,exit_time,entry_regime,frozen_owner_exit_profile,exit_authority,exit_reason,volume,entry_price,original_structural_sl,original_1r_distance,original_risk_usd,realized_profit_usd,realized_r,peak_r_while_open,mae_r,owner_floor_armed_true_false,owner_first_trigger_time,owner_first_floor_r,owner_adaptive_trigger_time,owner_max_required_floor_r,expected_min_exit_r,actual_exit_r,floor_violation_true_false,floor_violation_r_amount,floor_violation_usd_amount,broker_sl_modify_attempted,broker_sl_modify_success,broker_sl_modify_failed_reason,emergency_floor_breach_close_attempted,emergency_floor_breach_close_success,lower_exit_attempt_rejected_true_false,lower_exit_attempt_authority,tracking_state_present_at_exit,r_exit_state_present_at_exit,campaign_state_present_at_exit,basket_state_present_at_exit,audit_scope_note
2,CAMP-1,CORE,BUY,2026.04.20 02:03:00,2026.04.20 02:43:13,TREND_UP,TREND_UP,BROKER_SL,BROKER_SL,0.36,4778.88,4751.49159,27.38841,985.98,-1064.16,-1.079289,0.001826,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,DATA_UNAVAILABLE,0.40,,,,-1.079289,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
4,CAMP-2,CORE,BUY,2026.04.20 04:33:30,2026.04.20 16:33:00,TREND_DN,GENERAL,PROFIT_CLOSE,PROFIT_CLOSE,0.14,4809.61,4747.40024,62.20976,870.94,126.98,0.145797,0.268125,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,DATA_UNAVAILABLE,0.30,,,,0.145797,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
6,CAMP-3,CORE,SELL,2026.04.20 17:03:30,2026.04.20 17:12:43,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.55,4814.04,4830.49346,16.45346,904.94,271.7,0.30024,0.4066,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,DATA_UNAVAILABLE,0.30,,0.3,0.3,0.30024,false,0.0,0.0,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
8,CAMP-4,CORE,BUY,2026.04.22 01:33:00,2026.04.22 02:19:52,TREND_DN,GENERAL,PROFIT_CLOSE,PROFIT_CLOSE,0.14,4718.94,4655.77847,63.16153,884.26,172.06,0.194581,0.222762,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,2026.04.22 02:19:16,0.30,,0.3,,0.194581,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,true,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE; multi-leg floor is campaign-denominated
9,CAMP-4,PYRAMID,BUY,2026.04.22 02:18:26,2026.04.22 02:19:52,TREND_DN,GENERAL,PROFIT_CLOSE,PROFIT_CLOSE,0.49,4729.33,4710.60829,18.72171,917.36,93.1,0.101487,0.196563,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,2026.04.22 02:19:16,0.30,,0.3,,0.101487,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,true,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE; multi-leg floor is campaign-denominated
12,CAMP-5,CORE,BUY,2026.04.22 02:33:30,2026.04.22 03:04:37,TREND_DN,GENERAL,SL_MOD:PRIMARY_EXIT_FLOOR,SL_MOD:PRIMARY_EXIT_FLOOR,0.42,4732.76,4710.03119,22.72881,954.61,435.96,0.456689,0.556123,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,true,2026.04.22 03:01:14,0.30,2026.04.22 03:01:52,0.513,0.389286,0.456689,false,0.0,0.0,true,true,NONE_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,true,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE; multi-leg floor is campaign-denominated
13,CAMP-5,PYRAMID,BUY,2026.04.22 03:01:13,2026.04.22 03:04:37,TREND_DN,GENERAL,PROFIT_CLOSE,PROFIT_CLOSE,0.53,4742.21,4724.38614,17.82386,944.67,49.29,0.052177,0.178973,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,2026.04.22 03:01:14,0.30,2026.04.22 03:01:52,0.513,,0.052177,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,true,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE; multi-leg floor is campaign-denominated
16,CAMP-6,CORE,BUY,2026.04.22 03:33:00,2026.04.22 04:31:52,TREND_DN,GENERAL,PROFIT_CLOSE,PROFIT_CLOSE,0.45,4746.45,4724.46296,21.98704,989.41,110.7,0.111884,0.168281,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,2026.04.22 04:31:41,0.30,,0.3,,0.111884,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,true,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE; multi-leg floor is campaign-denominated
17,CAMP-6,PYRAMID,BUY,2026.04.22 04:24:53,2026.04.22 04:31:52,TREND_DN,GENERAL,PROFIT_CLOSE,PROFIT_CLOSE,0.73,4746.41,4732.67904,13.73096,1002.36,182.5,0.18207,0.272376,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,2026.04.22 04:31:41,0.30,,0.3,,0.18207,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,true,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE; multi-leg floor is campaign-denominated
20,CAMP-7,CORE,SELL,2026.04.22 08:03:00,2026.04.22 08:16:15,TREND_DN,GENERAL,BROKER_SL,BROKER_SL,1.18,4752.96,4761.71049,8.75049,1032.56,-1043.12,-1.010228,0.063996,DATA_UNAVAILABLE_IN_RETAINED_TELEMETRY,false,DATA_UNAVAILABLE,0.30,,,,-1.010228,false,0.0,0.0,false,false,NOT_APPLICABLE_OR_NOT_LOGGED,false,false,false,NONE_LOGGED,true,NOT_PROVEN_BY_CLOSE_LOG,true,not_applicable_single_leg,PARTIAL_REPEAT_THROUGH_2026-05-22; CONFIG_INVALID_COUNTER_EXECUTE
