default_off,mode,reason,regime,stage,ts
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_UP,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
true,BLOCK,OWNER_BREAKOUT_DISABLED,BRKT_DN,CANDIDATE_ACCEPTANCE,
