execution,inherited_campaign,inversion_applied,mode,original_signal,reason,regime,ts
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,BLOCK,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,BLOCK,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
