period,dimension,value,trades,avg_realized_r,avg_peak_r_while_open,trades_with_5m_data,historical_data_unavailable_5m,avg_total_favorable_r_5m,avg_missed_r_5m,median_missed_r_5m,total_missed_r_5m,avg_max_adverse_r_5m,returned_to_entry_count_5m,crossed_original_sl_count_5m,clean_continuation_count_5m,immediate_reversal_count_5m,trades_with_10m_data,historical_data_unavailable_10m,avg_total_favorable_r_10m,avg_missed_r_10m,median_missed_r_10m,total_missed_r_10m,avg_max_adverse_r_10m,returned_to_entry_count_10m,crossed_original_sl_count_10m,clean_continuation_count_10m,immediate_reversal_count_10m,trades_with_15m_data,historical_data_unavailable_15m,avg_total_favorable_r_15m,avg_missed_r_15m,median_missed_r_15m,total_missed_r_15m,avg_max_adverse_r_15m,returned_to_entry_count_15m,crossed_original_sl_count_15m,clean_continuation_count_15m,immediate_reversal_count_15m,trades_with_20m_data,historical_data_unavailable_20m,avg_total_favorable_r_20m,avg_missed_r_20m,median_missed_r_20m,total_missed_r_20m,avg_max_adverse_r_20m,returned_to_entry_count_20m,crossed_original_sl_count_20m,clean_continuation_count_20m,immediate_reversal_count_20m,trades_with_30m_data,historical_data_unavailable_30m,avg_total_favorable_r_30m,avg_missed_r_30m,median_missed_r_30m,total_missed_r_30m,avg_max_adverse_r_30m,returned_to_entry_count_30m,crossed_original_sl_count_30m,clean_continuation_count_30m,immediate_reversal_count_30m,trades_with_60m_data,historical_data_unavailable_60m,avg_total_favorable_r_60m,avg_missed_r_60m,median_missed_r_60m,total_missed_r_60m,avg_max_adverse_r_60m,returned_to_entry_count_60m,crossed_original_sl_count_60m,clean_continuation_count_60m,immediate_reversal_count_60m
FIRST_60_DAYS,exit_authority,BROKER_SL,31,-1.010926,0.128123,31,0,-0.787363,0.223563,0.201505,6.930445,0.221919,31,31,20,11,31,0,-0.693598,0.317328,0.252211,9.837173,0.270927,31,31,20,11,31,0,-0.669,0.341926,0.295614,10.599711,0.304749,31,31,20,11,31,0,-0.64374,0.367186,0.369282,11.382777,0.342523,31,31,20,11,31,0,-0.572509,0.438417,0.441549,13.59094,0.457112,31,31,20,11,31,0,-0.404821,0.606105,0.57561,18.789251,0.572238,31,31,20,11
FIRST_60_DAYS,exit_authority,PROFIT_CLOSE,54,0.187216,0.34732,54,0,0.341459,0.154243,0.12592,8.329139,0.125842,11,0,31,18,54,0,0.405373,0.218157,0.169575,11.780479,0.206191,17,1,32,21,54,0,0.423216,0.236,0.184086,12.744026,0.276854,24,3,32,21,54,0,0.472292,0.285076,0.193984,15.3941,0.321545,30,3,32,21,54,0,0.533844,0.346628,0.225195,18.717912,0.389472,34,4,33,21,54,0,0.707781,0.520566,0.460219,28.110542,0.55007,38,7,33,21
FIRST_60_DAYS,exit_authority,SL_MOD:OWNER_R_EXIT_FLOOR,49,0.423039,0.527436,49,0,0.590233,0.167194,0.131923,8.192483,0.22627,6,0,23,24,49,0,0.678054,0.255015,0.208909,12.495743,0.287693,9,0,25,24,49,0,0.752901,0.329862,0.263227,16.163241,0.345833,14,1,25,24,49,0,0.800348,0.377309,0.288348,18.488126,0.423372,19,3,25,24,49,0,0.848176,0.425137,0.355433,20.831728,0.519608,24,3,25,24,49,0,1.014211,0.591172,0.387493,28.967423,0.716075,27,8,25,24
FIRST_60_DAYS,exit_authority,WEEKEND_CLOSE,1,0.189064,0.344192,1,0,0.236723,0.047658,0.047658,0.047658,0.086023,0,0,0,0,1,0,0.236723,0.047658,0.047658,0.047658,0.090313,0,0,0,0,1,0,0.236723,0.047658,0.047658,0.047658,0.170141,0,0,0,1,1,0,0.236723,0.047658,0.047658,0.047658,0.246632,1,0,0,1,1,0,0.236723,0.047658,0.047658,0.047658,0.246632,1,0,0,1,1,0,0.371119,0.182055,0.182055,0.182055,0.246632,1,0,0,1
LATEST_30_DAYS,exit_authority,BROKER_SL,12,-1.005848,0.130613,12,0,-0.807793,0.198055,0.164421,2.376665,0.16277,12,12,7,4,12,0,-0.700796,0.305052,0.210756,3.660626,0.201414,12,12,7,4,12,0,-0.65647,0.349378,0.241969,4.192539,0.27605,12,12,8,4,12,0,-0.628466,0.377382,0.259444,4.528578,0.310298,12,12,8,4,12,0,-0.554142,0.451706,0.335175,5.420473,0.454282,12,12,8,4,12,0,-0.289606,0.716242,0.532311,8.594907,0.642309,12,12,8,4
LATEST_30_DAYS,exit_authority,PROFIT_CLOSE,32,0.181031,0.34302,32,0,0.304968,0.123937,0.095086,3.965996,0.170045,9,0,13,17,32,0,0.340776,0.159745,0.123499,5.11185,0.251363,15,0,13,18,32,0,0.382938,0.201907,0.158208,6.46104,0.305057,19,0,13,18,32,0,0.40518,0.224149,0.198391,7.172766,0.336546,22,0,13,18,32,0,0.477866,0.296835,0.250163,9.49873,0.431654,25,1,13,19,32,0,0.707453,0.526422,0.340267,16.845512,0.592691,25,3,13,19
LATEST_30_DAYS,exit_authority,SL_MOD:OWNER_R_EXIT_FLOOR,30,0.428535,0.539121,30,0,0.699961,0.271425,0.097865,8.142764,0.203754,4,0,11,16,30,0,0.749367,0.320832,0.11074,9.62497,0.291779,8,0,11,18,30,0,0.785842,0.357307,0.183769,10.71921,0.352475,9,0,11,19,30,0,0.841442,0.412907,0.195181,12.387195,0.402993,11,0,11,19,30,0,1.019504,0.590968,0.273041,17.729054,0.465968,16,0,11,19,30,0,1.525487,1.096952,0.361969,32.908563,0.603578,18,1,11,19
LATEST_30_DAYS,exit_authority,WEEKEND_CLOSE,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FULL_90_DAYS,exit_authority,BROKER_SL,43,-1.009509,0.128818,43,0,-0.793065,0.216444,0.198298,9.30711,0.205412,43,43,27,15,43,0,-0.695607,0.313902,0.246725,13.497799,0.251528,43,43,27,15,43,0,-0.665503,0.344006,0.262406,14.79225,0.29674,43,43,28,15,43,0,-0.639477,0.370032,0.295614,15.911355,0.33353,43,43,28,15,43,0,-0.567383,0.442126,0.416887,19.011413,0.456322,43,43,28,15,43,0,-0.372668,0.636841,0.555641,27.384158,0.591792,43,43,28,15
FULL_90_DAYS,exit_authority,PROFIT_CLOSE,86,0.184915,0.34572,86,0,0.327881,0.142967,0.110966,12.295135,0.142289,20,0,44,35,86,0,0.381337,0.196422,0.158523,16.892329,0.222999,32,1,45,39,86,0,0.408229,0.223315,0.164721,19.205066,0.287348,43,3,45,39,86,0,0.44732,0.262405,0.195287,22.566866,0.327127,52,3,45,39,86,0,0.513015,0.3281,0.236049,28.216642,0.405167,59,5,46,40,86,0,0.707659,0.522745,0.426095,44.956054,0.565929,63,10,46,40
