period,dimension,value,trades,avg_realized_r,avg_peak_r_while_open,trades_with_5m_data,historical_data_unavailable_5m,avg_total_favorable_r_5m,avg_missed_r_5m,median_missed_r_5m,total_missed_r_5m,avg_max_adverse_r_5m,returned_to_entry_count_5m,crossed_original_sl_count_5m,clean_continuation_count_5m,immediate_reversal_count_5m,trades_with_10m_data,historical_data_unavailable_10m,avg_total_favorable_r_10m,avg_missed_r_10m,median_missed_r_10m,total_missed_r_10m,avg_max_adverse_r_10m,returned_to_entry_count_10m,crossed_original_sl_count_10m,clean_continuation_count_10m,immediate_reversal_count_10m,trades_with_15m_data,historical_data_unavailable_15m,avg_total_favorable_r_15m,avg_missed_r_15m,median_missed_r_15m,total_missed_r_15m,avg_max_adverse_r_15m,returned_to_entry_count_15m,crossed_original_sl_count_15m,clean_continuation_count_15m,immediate_reversal_count_15m,trades_with_20m_data,historical_data_unavailable_20m,avg_total_favorable_r_20m,avg_missed_r_20m,median_missed_r_20m,total_missed_r_20m,avg_max_adverse_r_20m,returned_to_entry_count_20m,crossed_original_sl_count_20m,clean_continuation_count_20m,immediate_reversal_count_20m,trades_with_30m_data,historical_data_unavailable_30m,avg_total_favorable_r_30m,avg_missed_r_30m,median_missed_r_30m,total_missed_r_30m,avg_max_adverse_r_30m,returned_to_entry_count_30m,crossed_original_sl_count_30m,clean_continuation_count_30m,immediate_reversal_count_30m,trades_with_60m_data,historical_data_unavailable_60m,avg_total_favorable_r_60m,avg_missed_r_60m,median_missed_r_60m,total_missed_r_60m,avg_max_adverse_r_60m,returned_to_entry_count_60m,crossed_original_sl_count_60m,clean_continuation_count_60m,immediate_reversal_count_60m
FIRST_60_DAYS,entry_regime,CHOPPY,3,0.329995,0.422423,3,0,0.433395,0.1034,0.078327,0.310201,0.636526,2,0,1,2,3,0,0.433395,0.1034,0.078327,0.310201,0.761013,2,0,1,2,3,0,0.433395,0.1034,0.078327,0.310201,0.979436,2,1,1,2,3,0,0.433395,0.1034,0.078327,0.310201,1.204046,3,2,1,2,3,0,0.438796,0.108801,0.078327,0.326404,1.331037,3,2,1,2,3,0,0.689744,0.359749,0.455368,1.079247,1.671935,3,2,1,2
FIRST_60_DAYS,entry_regime,RANGING,2,0.392322,0.582993,2,0,0.601275,0.208953,0.208953,0.417906,0.178652,0,0,1,0,2,0,0.601275,0.208953,0.208953,0.417906,0.240443,0,0,1,0,2,0,0.601275,0.208953,0.208953,0.417906,0.396556,1,0,1,1,2,0,0.601275,0.208953,0.208953,0.417906,0.559396,2,0,1,1,2,0,0.601275,0.208953,0.208953,0.417906,0.645551,2,0,1,1,2,0,0.668473,0.276151,0.276151,0.552303,1.315357,2,1,1,1
FIRST_60_DAYS,entry_regime,TREND_DN,79,-0.048077,0.356859,79,0,0.122054,0.170131,0.142578,13.440374,0.212174,34,22,42,33,79,0,0.223572,0.27165,0.198898,21.460317,0.288726,37,23,44,34,79,0,0.277244,0.325322,0.241366,25.700437,0.329246,41,24,44,34,79,0,0.330734,0.378811,0.253378,29.926105,0.374519,45,25,44,34,79,0,0.413477,0.461555,0.369282,36.462827,0.471957,51,26,45,34,79,0,0.627749,0.675827,0.58741,53.39033,0.629358,55,30,45,34
FIRST_60_DAYS,entry_regime,TREND_UP,51,0.033577,0.358637,51,0,0.216542,0.182966,0.140577,9.331244,0.114109,12,9,30,18,51,0,0.268334,0.234757,0.187543,11.972629,0.159746,18,9,31,20,51,0,0.290951,0.257374,0.208054,13.126092,0.230812,25,10,31,20,51,0,0.320997,0.287421,0.288348,14.658449,0.287363,31,10,31,20,51,0,0.346932,0.313355,0.300299,15.981101,0.359618,34,10,31,20,51,0,0.445879,0.412302,0.387493,21.027391,0.498267,37,13,31,20
LATEST_30_DAYS,entry_regime,CHOPPY,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,entry_regime,RANGING,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,entry_regime,TREND_DN,53,0.078795,0.400166,53,0,0.282245,0.203451,0.104925,10.782894,0.192581,18,10,20,29,53,0,0.341199,0.262405,0.179465,13.907449,0.281626,27,10,20,32,53,0,0.384215,0.305421,0.207895,16.187288,0.348633,31,10,21,32,53,0,0.426938,0.348143,0.213617,18.451586,0.381718,33,10,21,32,53,0,0.546611,0.467817,0.262845,24.794275,0.467941,39,10,21,32,53,0,0.943809,0.865015,0.41712,45.845781,0.582881,41,12,21,32
LATEST_30_DAYS,entry_regime,TREND_UP,21,0.114417,0.357564,21,0,0.290728,0.176311,0.104109,3.702531,0.157168,7,2,11,8,21,0,0.328226,0.213809,0.104109,4.489997,0.20418,8,2,11,8,21,0,0.361345,0.246929,0.129787,5.185501,0.246245,9,2,11,9,21,0,0.382843,0.268426,0.200878,5.636953,0.302467,12,2,11,9,21,0,0.488416,0.373999,0.288629,7.853982,0.402023,14,3,11,10,21,0,0.709807,0.595391,0.288629,12.503201,0.661357,14,4,11,10
FULL_90_DAYS,entry_regime,CHOPPY,3,0.329995,0.422423,3,0,0.433395,0.1034,0.078327,0.310201,0.636526,2,0,1,2,3,0,0.433395,0.1034,0.078327,0.310201,0.761013,2,0,1,2,3,0,0.433395,0.1034,0.078327,0.310201,0.979436,2,1,1,2,3,0,0.433395,0.1034,0.078327,0.310201,1.204046,3,2,1,2,3,0,0.438796,0.108801,0.078327,0.326404,1.331037,3,2,1,2,3,0,0.689744,0.359749,0.455368,1.079247,1.671935,3,2,1,2
FULL_90_DAYS,entry_regime,RANGING,2,0.392322,0.582993,2,0,0.601275,0.208953,0.208953,0.417906,0.178652,0,0,1,0,2,0,0.601275,0.208953,0.208953,0.417906,0.240443,0,0,1,0,2,0,0.601275,0.208953,0.208953,0.417906,0.396556,1,0,1,1,2,0,0.601275,0.208953,0.208953,0.417906,0.559396,2,0,1,1,2,0,0.601275,0.208953,0.208953,0.417906,0.645551,2,0,1,1,2,0,0.668473,0.276151,0.276151,0.552303,1.315357,2,1,1,1
