direction,effectiveRiskUSD,entry,lots,originalOneRDistance,originalRiskUSD,originalStructuralSL,ownerExitProfile,positionId,ticket,ts
BUY,985.98,4778.88000,0.36,27.38841,985.98,4751.49159,GENERAL,2,2,
BUY,870.94,4809.61000,0.14,62.20976,870.94,4747.40024,GENERAL,4,4,
BUY,884.26,4718.94000,0.14,63.16153,884.26,4655.77847,GENERAL,6,6,
SELL,936.30,4752.96000,1.07,8.75049,936.30,4761.71049,GENERAL,8,8,
SELL,836.75,4765.14000,0.86,9.72969,836.75,4774.86969,GENERAL,10,10,
SELL,845.30,4759.53000,0.52,16.25571,845.30,4775.78571,GENERAL,12,12,
SELL,870.79,4753.64000,0.78,11.16399,870.79,4764.80399,GENERAL,14,14,
SELL,897.93,4728.09000,0.56,16.03444,897.93,4744.12444,GENERAL,16,16,
SELL,812.48,4731.01000,0.50,16.24963,812.48,4747.25963,GENERAL,18,18,
SELL,821.14,4719.54000,0.30,27.37140,821.14,4746.91140,GENERAL,20,20,
BUY,849.32,4699.70000,0.71,11.96233,849.32,4687.73767,GENERAL,22,22,
BUY,870.68,4704.50000,0.49,17.76887,870.68,4686.73113,GENERAL,24,24,
BUY,914.11,4719.77000,0.31,29.48726,914.11,4690.28274,GENERAL,26,26,
SELL,931.96,4706.78000,0.89,10.47154,931.96,4717.25154,GENERAL,28,28,
BUY,943.29,4679.37000,0.58,16.26360,943.29,4663.10640,GENERAL,30,30,
SELL,995.77,4686.14000,0.53,18.78819,995.77,4704.92819,GENERAL,32,32,
SELL,1087.69,4602.01000,1.01,10.76923,1087.69,4612.77923,GENERAL,34,34,
SELL,1118.89,4586.07000,0.47,23.80616,1118.89,4609.87616,GENERAL,36,36,
SELL,1145.82,4577.83000,0.79,14.50406,1145.82,4592.33406,GENERAL,38,38,
SELL,1160.10,4568.56000,0.64,18.12651,1160.10,4586.68651,GENERAL,40,40,
SELL,1193.49,4551.49000,0.54,22.10169,1193.49,4573.59169,GENERAL,42,42,
BUY,1221.11,4629.67000,0.64,19.07991,1221.11,4610.59009,GENERAL,44,44,
BUY,1253.46,4629.76000,0.88,14.24391,1253.46,4615.51609,GENERAL,46,46,
