direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=ASIA | location=LOCATION_LATE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_ACCEPTABLE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_LATE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=B | session=NON_ASIA | location=LOCATION_RESET_PENDING | reason=PERM_BLOCK_RESET_PENDING_GRADE_B
direction=SELL | setup=TREND_PULLBACK | grade=B | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=SELL | setup=TREND_PULLBACK | grade=A+ | session=NON_ASIA | location=LOCATION_RESET_PENDING | reason=PERM_BLOCK_A_PLUS_RESET_PENDING
direction=SELL | setup=TREND_PULLBACK | grade=A+ | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=SELL | setup=TREND_PULLBACK | grade=A+ | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=SELL | setup=TREND_PULLBACK | grade=A | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=BUY | setup=TREND_PULLBACK | grade=A | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=BUY | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_LATE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_ACCEPTABLE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=TREND_PULLBACK | grade=B | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=BUY | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_EXCELLENT | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXCELLENT | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_EXCELLENT | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=RANGE_REVERSAL | grade=B | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=BUY | setup=TREND_PULLBACK | grade=B | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXCELLENT | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=SELL | setup=LONDON_FIX_PIN | grade=A | session=NON_ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=BUY | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXCELLENT | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=BREAKOUT | grade=A | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=BREAKOUT | grade=A | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=SQUEEZE_RELEASE | grade=A | session=ASIA | location=LOCATION_LATE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=SQUEEZE_RELEASE | grade=A | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=SQUEEZE_RELEASE | grade=A | session=ASIA | location=LOCATION_LATE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_EXTREME | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_LATE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_GOOD | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=A | session=ASIA | location=LOCATION_GOOD | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=A+ | session=ASIA | location=LOCATION_EXCELLENT | reason=OWNER_LOCATION_EXCELLENT_BLOCK
direction=SELL | setup=TREND_PULLBACK | grade=B | session=ASIA | location=LOCATION_ACCEPTABLE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
direction=SELL | setup=TREND_PULLBACK | grade=SKIP | session=ASIA | location=LOCATION_LATE | reason=PERM_BLOCK_ASIA_NON_A_PLUS
