opportunity_id,machine,timestamp,original_direction,counter_direction,setup,reasonKey,grade,signal_price,atr,original_hit_1R,original_hit_1R_at_min,counter_mfe_R_5m,counter_mae_R_5m,counter_mfe_R_10m,counter_mae_R_10m,counter_mfe_R_15m,counter_mae_R_15m,counter_mfe_R_30m,counter_mae_R_30m,counter_mfe_R_60m,counter_mae_R_60m,counter_time_to_+0.2R_min,counter_time_to_+0.3R_min,counter_time_to_+0.5R_min,counter_time_to_-0.2R_min,counter_time_to_-0.3R_min,counter_time_to_-0.5R_min,sequence_0.2R_vs_0.2R,sequence_0.3R_vs_0.3R,sequence_0.5R_vs_0.5R,counter_max_MFE_R,counter_max_MAE_R,execution_note
VPS_20260707134514_BUY_TREND_PULLBACK,VPS,2026.07.07 13:45:14,BUY,SELL,TREND_PULLBACK,SPREAD_TOO_WIDE,A,4178.22,7.55,Y,10,0.584,0.0,1.092,0.0,1.22,0.0,1.328,0.0,1.504,0.0,5,5,5,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.504,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707162535_SELL_TREND_PULLBACK,VPS,2026.07.07 16:25:35,SELL,BUY,TREND_PULLBACK,Personality mismatch,PERSONALITY,4145.04,4.45,N,,0.0,0.38,0.0,0.596,0.0,0.596,0.0,0.916,0.0,3.752,,,,5,5,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.752,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707164017_BUY_TREND_PULLBACK,VPS,2026.07.07 16:40:17,BUY,SELL,TREND_PULLBACK,SMART-GUARD,A+,4145.27,4.04,N,,0.152,0.0,0.152,0.0,0.152,0.016,,,,,,,,,,,NEITHER_5-60m,NEITHER_5-60m,NEITHER_5-60m,0.152,0.016,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707170117_BUY_TREND_PULLBACK,VPS,2026.07.07 17:01:17,BUY,SELL,TREND_PULLBACK,SMART-GUARD,A+,4145.26,3.57,N,,0.0,0.156,0.252,0.156,0.252,0.156,0.252,0.156,0.3,0.22,10,60,,60,,,TARGET_FIRST,TARGET_FIRST,NEITHER_5-60m,0.3,0.22,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707174512_BUY_HTF_TREND_FOLLOW,VPS,2026.07.07 17:45:12,BUY,SELL,HTF_TREND_FOLLOW,BAD-LOCATION BLOCK,A,4147.36,2.8,Y,60,0.324,0.0,0.488,0.0,0.488,0.0,0.884,0.0,1.184,0.0,5,5,30,,,,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,1.184,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707175516_SELL_TREND_PULLBACK,VPS,2026.07.07 17:55:16,SELL,BUY,TREND_PULLBACK,SMART-GUARD,SKIP,4143.8,2.77,N,,0.164,0.176,0.164,0.38,0.164,0.38,0.164,0.38,0.164,2.576,,,,10,10,60,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.164,2.576,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707183514_SELL_TREND_PULLBACK,VPS,2026.07.07 18:35:14,SELL,BUY,TREND_PULLBACK,SPREAD_TOO_WIDE,B,4139.12,2.77,N,,0.424,0.0,0.424,0.62,0.424,1.764,0.424,3.992,0.424,5.68,5,5,,10,10,10,TARGET_FIRST,TARGET_FIRST,STOP_FIRST,0.424,5.68,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707185013_SELL_BREAKOUT,VPS,2026.07.07 18:50:13,SELL,BUY,BREAKOUT,Personality mismatch,PERSONALITY,4134.99,3.38,N,,0.0,0.956,0.0,1.064,0.0,1.692,0.0,4.164,0.0,4.164,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,4.164,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707190515_SELL_BREAKOUT,VPS,2026.07.07 19:05:15,SELL,BUY,BREAKOUT,SPREAD_TOO_WIDE,A,4119.34,4.77,N,,0.0,1.348,0.0,1.64,0.0,1.64,0.0,1.64,0.0,1.64,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,1.64,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707191514_SELL_SQUEEZE_RELEASE,VPS,2026.07.07 19:15:14,SELL,BUY,SQUEEZE_RELEASE,SPREAD_TOO_WIDE,B,4103.29,6.0,N,,0.0,0.232,0.16,0.232,0.648,0.232,0.648,0.232,0.888,0.232,15,15,15,5,,,STOP_FIRST,TARGET_FIRST,TARGET_FIRST,0.888,0.232,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707195014_SELL_SQUEEZE_RELEASE,VPS,2026.07.07 19:50:14,SELL,BUY,SQUEEZE_RELEASE,FAILED-IMPULSE BLOCK,A,4111.54,8.5,N,,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.132,,,5,,,,,,TARGET_FIRST,NEITHER_5-60m,NEITHER_5-60m,0.24,0.132,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707195513_BUY_TREND_PULLBACK,VPS,2026.07.07 19:55:13,BUY,SELL,TREND_PULLBACK,B-GRADE QUALITY BLOCK,B,4116.44,8.73,N,,0.14,0.0,0.14,0.0,0.14,0.0,0.352,0.0,,,30,30,,,,,TARGET_FIRST,TARGET_FIRST,NEITHER_5-60m,0.352,0.0,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707200014_BUY_TREND_PULLBACK,VPS,2026.07.07 20:00:14,BUY,SELL,TREND_PULLBACK,Personality mismatch,PERSONALITY,4113.03,8.22,N,,0.0,0.084,0.0,0.084,0.188,0.084,0.208,0.084,,,30,,,,,,TARGET_FIRST,NEITHER_5-60m,NEITHER_5-60m,0.208,0.084,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707202017_SELL_TREND_PULLBACK,VPS,2026.07.07 20:20:17,SELL,BUY,TREND_PULLBACK,SPREAD_TOO_WIDE,B,4109.02,6.42,N,,0.116,0.016,0.116,0.1,0.116,0.224,,,,,,,,15,,,STOP_FIRST,NEITHER_5-60m,NEITHER_5-60m,0.116,0.224,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
