opportunity_id,machine,timestamp,original_direction,counter_direction,setup,reasonKey,grade,signal_price,atr,original_hit_1R,original_hit_1R_at_min,counter_mfe_R_5m,counter_mae_R_5m,counter_mfe_R_10m,counter_mae_R_10m,counter_mfe_R_15m,counter_mae_R_15m,counter_mfe_R_30m,counter_mae_R_30m,counter_mfe_R_60m,counter_mae_R_60m,counter_time_to_+0.2R_min,counter_time_to_+0.3R_min,counter_time_to_+0.5R_min,counter_time_to_-0.2R_min,counter_time_to_-0.3R_min,counter_time_to_-0.5R_min,sequence_0.2R_vs_0.2R,sequence_0.3R_vs_0.3R,sequence_0.5R_vs_0.5R,counter_max_MFE_R,counter_max_MAE_R,execution_note
MAC_20260702145515_BUY_TREND_PULLBACK,MAC,2026.07.02 14:55:15,BUY,SELL,TREND_PULLBACK,TREND-CONTINUATION MODE,A,4071.11,4.04,N,,0.732,0.0,0.732,0.0,0.732,0.0,0.732,2.344,0.732,6.812,5,5,5,30,30,30,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,0.732,6.812,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260702150518_BUY_TREND_PULLBACK,MAC,2026.07.02 15:05:18,BUY,SELL,TREND_PULLBACK,NEWS FILTER (high-impact event nearby),A,4068.04,4.33,N,,0.376,0.268,0.376,0.268,0.376,0.268,0.376,6.64,0.376,6.64,5,5,,5,30,30,SIMULTANEOUS_SAME_CHECKPOINT,TARGET_FIRST,STOP_FIRST,0.376,6.64,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260702145017_BUY_BREAKOUT,MAC,2026.07.02 14:50:17,BUY,SELL,BREAKOUT,BAD-LOCATION BLOCK,B,4071.0,4.27,N,,0.684,0.0,0.684,0.0,0.684,0.0,0.684,0.0,0.684,6.452,5,5,5,60,60,60,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,0.684,6.452,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260630031148_SELL_TREND_PULLBACK,MAC,2026.06.30 03:11:48,SELL,BUY,TREND_PULLBACK,STI_REENTRY_WAIT ,A+,4011.27,3.77,N,,0.0,0.308,0.0,0.308,0.0,0.632,0.0,2.076,0.0,6.128,,,,5,5,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,6.128,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708075516_SELL_TREND_PULLBACK,VPS,2026.07.08 07:55:16,SELL,BUY,TREND_PULLBACK,A+ EVIDENCE DEMOTION,A,4120.51,4.45,N,,0.0,0.208,0.0,0.208,0.0,0.208,0.0,3.148,0.0,6.056,,,,5,30,30,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,6.056,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260702152517_BUY_TREND_PULLBACK,MAC,2026.07.02 15:25:17,BUY,SELL,TREND_PULLBACK,CALENDAR,A,4068.59,4.81,N,,0.0,4.76,0.0,5.932,0.0,5.932,0.0,5.932,0.0,5.932,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,5.932,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708073518_SELL_TREND_PULLBACK,VPS,2026.07.08 07:35:18,SELL,BUY,TREND_PULLBACK,SMART-GUARD,A,4123.04,3.81,N,,0.34,0.244,0.34,0.244,0.34,0.252,0.34,0.508,0.34,5.848,5,5,,5,30,30,SIMULTANEOUS_SAME_CHECKPOINT,TARGET_FIRST,STOP_FIRST,0.34,5.848,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707183514_SELL_TREND_PULLBACK,VPS,2026.07.07 18:35:14,SELL,BUY,TREND_PULLBACK,SPREAD_TOO_WIDE,B,4139.12,2.77,N,,0.424,0.0,0.424,0.62,0.424,1.764,0.424,3.992,0.424,5.68,5,5,,10,10,10,TARGET_FIRST,TARGET_FIRST,STOP_FIRST,0.424,5.68,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708074013_SELL_TREND_PULLBACK,VPS,2026.07.08 07:40:13,SELL,BUY,TREND_PULLBACK,SPREAD_TOO_WIDE,A,4120.98,4.0,N,,0.528,0.0,0.528,0.0,0.528,0.032,0.528,0.28,0.528,5.36,5,5,5,30,60,60,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,0.528,5.36,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260630031646_SELL_HTF_TREND_FOLLOW,MAC,2026.06.30 03:16:46,SELL,BUY,HTF_TREND_FOLLOW,STI_REENTRY_WAIT ,A+,4008.62,4.13,N,,0.024,0.0,0.024,0.32,0.024,0.76,0.024,1.64,0.024,5.34,,,,10,10,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.024,5.34,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
