dimension,value,n,resolved,win_rate_pct,expectancy_R
setup,TREND_PULLBACK,1470,1312,43.7,0.0184
setup,HTF_TREND_FOLLOW,145,135,45.2,0.0259
setup,BREAKOUT,219,206,40.8,0.0039
setup,SQUEEZE_RELEASE,170,152,40.1,0.0007
setup,ASIA_BREAKOUT,44,42,50.0,0.05
reasonKey,SPREAD_TOO_WIDE,20,19,47.4,0.0368
reasonKey,Personality mismatch,98,93,43.0,0.0151
reasonKey,SMART-GUARD,346,310,43.2,0.0161
reasonKey,BAD-LOCATION BLOCK,239,224,42.4,0.0121
reasonKey,FAILED-IMPULSE BLOCK,215,183,39.9,-0.0005
reasonKey,B-GRADE QUALITY BLOCK,227,205,45.9,0.0293
reasonKey,TREND-CONTINUATION MODE,46,40,50.0,0.05
reasonKey,A+ EVIDENCE DEMOTION,126,114,44.7,0.0237
reasonKey,TRUE-LATE BLOCK,11,10,50.0,0.05
reasonKey,STI_REENTRY_WAIT ,38,35,40.0,-0.0
reasonKey,CALIBRATED_ENTRY_QUALITY,34,32,40.6,0.0031
reasonKey,NEWS FILTER (high-impact event nearby),30,27,63.0,0.1148
reasonKey,Trade blocked — momentum slowdown (close in opposite 30% of last,43,37,40.5,0.0027
reasonKey,NEWS_ENTRY_BLOCKED_POOR_RR,27,25,52.0,0.06
reasonKey,BAD-RR TIMING BLOCK,158,139,43.9,0.0194
reasonKey,LATE-CHASE ENTRY BLOCK,80,70,41.4,0.0071
reasonKey,ANALYSIS-ONLY,47,45,46.7,0.0333
reasonKey,Trade blocked — spread,23,22,40.9,0.0045
reasonKey,A+ TIMING DEMOTION,37,34,41.2,0.0059
reasonKey,ANTI-BIAS BLOCK,19,16,31.2,-0.0438
reasonKey,NEWS_AFTERMATH,29,29,37.9,-0.0103
reasonKey,AI DIRECTOR BLOCK,41,36,44.4,0.0222
reasonKey,NEWS_AFTERMATH [NORMAL],15,13,46.2,0.0308
reasonKey,NEWS_OBSERVING,32,30,46.7,0.0333
original_direction,BUY,838,754,47.3,0.0367
original_direction,SELL,1222,1104,40.6,0.0029
machine,VPS,188,166,43.4,0.0169
machine,MAC,1872,1692,43.3,0.0166
