direction,effectiveRiskUSD,entry,lots,originalOneRDistance,originalRiskUSD,originalStructuralSL,ownerExitProfile,positionId,ticket,ts
BUY,978.36,4280.39000,0.37,26.44217,978.36,4253.94783,GENERAL,2,2,
BUY,1039.07,4319.43000,0.62,16.75924,1039.07,4302.67076,GENERAL,4,4,
SELL,1048.21,4315.29000,0.91,11.51876,1048.21,4326.80876,GENERAL,6,6,
SELL,1076.02,4307.41000,0.49,21.95961,1076.02,4329.36961,GENERAL,8,8,
SELL,1114.76,4303.71000,0.42,26.54194,1114.76,4330.25194,GENERAL,10,10,
SELL,1144.20,4291.97000,0.51,22.43533,1144.20,4314.40533,GENERAL,12,12,
SELL,1164.15,4288.92000,0.45,25.87007,1164.15,4314.79007,GENERAL,14,14,
SELL,1164.34,4247.67000,0.37,31.46859,1164.34,4279.13859,GENERAL,16,16,
SELL,1208.16,4148.28000,0.51,23.68941,1208.16,4171.96941,GENERAL,18,18,
BUY,1082.16,4152.05000,0.85,12.73127,1082.16,4139.31873,GENERAL,20,20,
BUY,1118.61,4167.38000,0.29,38.57271,1118.61,4128.80729,GENERAL,22,22,
BUY,1219.04,4198.28000,0.16,76.19001,1219.04,4122.08999,GENERAL,24,24,
SELL,1124.04,4132.59000,0.76,14.79000,1124.04,4147.38000,GENERAL,26,26,
SELL,1137.64,4121.99000,0.79,14.40047,1137.64,4136.39047,GENERAL,28,28,
SELL,1186.53,4122.61000,0.87,13.63834,1186.53,4136.24834,GENERAL,30,30,
SELL,1215.22,3979.17000,1.29,9.42030,1215.22,3988.59030,GENERAL,32,32,
SELL,1239.87,4007.47000,0.36,34.44081,1239.87,4041.91081,GENERAL,34,34,
BUY,1123.85,4003.42000,0.78,14.40831,1123.85,3989.01169,GENERAL,36,36,
BUY,1171.22,4006.02000,0.67,17.48087,1171.22,3988.53913,GENERAL,38,38,
BUY,1217.53,4011.51000,0.93,13.09166,1217.53,3998.41834,GENERAL,40,40,
BUY,1267.50,4017.58000,0.87,14.56903,1267.50,4003.01097,GENERAL,42,42,
BUY,1301.64,4026.65000,0.49,26.56397,1301.64,4000.08603,GENERAL,44,44,
SELL,1340.72,4060.67000,0.43,31.17951,1340.72,4091.84951,GENERAL,46,46,
SELL,1393.18,4016.73000,1.02,13.65857,1393.18,4030.38857,GENERAL,48,48,
SELL,1409.76,4018.53000,0.60,23.49604,1409.76,4042.02604,GENERAL,50,50,
SELL,1451.43,4015.38000,0.53,27.38546,1451.43,4042.76546,GENERAL,52,52,
SELL,1304.75,4035.92000,0.37,35.26350,1304.75,4071.18350,GENERAL,54,54,
SELL,1316.50,4029.90000,0.31,42.46770,1316.50,4072.36770,GENERAL,56,56,
SELL,1351.00,4006.41000,1.61,8.39134,1351.00,4014.80134,GENERAL,58,58,
SELL,1407.52,4003.07000,1.57,8.96507,1407.52,4012.03507,GENERAL,60,60,
SELL,1476.85,3976.87000,0.96,15.38391,1476.85,3992.25391,GENERAL,62,62,
SELL,1519.29,4073.08000,0.95,15.99249,1519.29,4089.07249,GENERAL,64,64,
SELL,1559.21,4070.09000,0.81,19.24954,1559.21,4089.33954,GENERAL,66,66,
BUY,1600.78,4050.52000,0.98,16.33449,1600.78,4034.18551,GENERAL,68,68,
BUY,1627.99,4052.22000,1.09,14.93571,1627.99,4037.28429,GENERAL,70,70,
BUY,1664.69,4065.29000,1.25,13.31747,1664.69,4051.97253,GENERAL,72,72,
BUY,1742.98,4071.19000,0.86,20.26723,1742.98,4050.92277,GENERAL,74,74,
SELL,1795.84,4175.06000,1.18,15.21904,1795.84,4190.27904,GENERAL,76,76,
SELL,1832.62,4167.94000,1.04,17.62127,1832.62,4185.56127,GENERAL,78,78,
BUY,1888.60,4161.87000,1.35,13.98956,1888.60,4147.88044,GENERAL,80,80,
BUY,1694.70,4152.91000,0.82,20.66709,1694.70,4132.24291,GENERAL,82,82,
SELL,1729.22,4155.98000,1.47,11.76339,1729.22,4167.74339,GENERAL,84,84,
SELL,1761.72,4160.25000,2.67,6.59824,1761.72,4166.84824,GENERAL,86,86,
BUY,1827.36,4115.23000,0.74,24.69407,1827.36,4090.53593,GENERAL,88,88,
BUY,1857.98,4127.22000,1.03,18.03857,1857.98,4109.18143,GENERAL,90,90,
SELL,1901.76,4126.60000,1.93,9.85371,1901.76,4136.45371,GENERAL,92,92,
SELL,1934.08,4125.44000,1.78,10.86561,1934.08,4136.30561,GENERAL,94,94,
SELL,2029.78,4118.63000,1.77,11.46771,2029.78,4130.09771,GENERAL,96,96,
BUY,2108.27,4064.86000,0.71,29.69396,2108.27,4035.16604,GENERAL,98,98,
SELL,2173.86,4077.10000,1.19,18.26769,2173.86,4095.36769,GENERAL,100,100,
SELL,2223.46,4071.02000,2.12,10.48800,2223.46,4081.50800,GENERAL,102,102,
SELL,2001.81,4066.36000,0.96,20.85223,2001.81,4087.21223,GENERAL,104,104,
SELL,2065.64,4123.10000,1.10,18.77846,2065.64,4141.87846,GENERAL,106,106,
BUY,2101.09,4084.21000,0.78,26.93696,2101.09,4057.27304,BREAKOUT,108,108,
SELL,1901.34,4067.25000,1.58,12.03381,1901.34,4079.28381,GENERAL,110,110,
SELL,2092.16,4061.87000,1.12,18.67997,2092.16,4080.54997,GENERAL,112,112,
SELL,2133.49,4019.62000,1.62,13.16966,2133.49,4032.78966,GENERAL,114,114,
SELL,2178.02,4020.15000,1.73,12.58971,2178.02,4032.73971,GENERAL,116,116,
SELL,2242.67,4015.23000,1.88,11.92907,2242.67,4027.15907,GENERAL,118,118,
BUY,1963.89,4079.81000,0.28,70.13876,1963.89,4009.67124,BREAKOUT,120,120,
SELL,1825.99,3980.87000,1.48,12.33784,1825.99,3993.20784,GENERAL,122,122,
SELL,1860.40,3992.05000,2.00,9.30201,1860.40,4001.35201,GENERAL,124,124,
