ticket,campaign_id,leg_role,direction,result,close_price_watch,watched,checkpoint_5m_verdict,checkpoint_5m_max_more_atr,checkpoint_5m_max_reverse_atr,checkpoint_5m_missed_money,checkpoint_5m_avoided_money,checkpoint_5m_price_mid,checkpoint_10m_verdict,checkpoint_10m_max_more_atr,checkpoint_10m_max_reverse_atr,checkpoint_10m_missed_money,checkpoint_10m_avoided_money,checkpoint_10m_price_mid,checkpoint_15m_verdict,checkpoint_15m_max_more_atr,checkpoint_15m_max_reverse_atr,checkpoint_15m_missed_money,checkpoint_15m_avoided_money,checkpoint_15m_price_mid,checkpoint_30m_verdict,checkpoint_30m_max_more_atr,checkpoint_30m_max_reverse_atr,checkpoint_30m_missed_money,checkpoint_30m_avoided_money,checkpoint_30m_price_mid,checkpoint_60m_verdict,checkpoint_60m_max_more_atr,checkpoint_60m_max_reverse_atr,checkpoint_60m_missed_money,checkpoint_60m_avoided_money,checkpoint_60m_price_mid
2,CAMP-1,CORE,BUY,WIN,4554.1,True,EXIT_OK,0.2,0.18,76.0,67.0,4552.56,EXIT_OK,0.2,0.44,76.0,169.0,4549.99,EXIT_OK,0.2,0.63,76.0,243.0,4547.18,EXIT_GOOD_AVOIDED_REVERSAL,0.2,1.27,76.0,488.0,4545.77,EXIT_GOOD_AVOIDED_REVERSAL,0.2,1.27,76.0,488.0,4549.59
4,CAMP-2,CORE,SELL,WIN,4533.83,True,EXIT_GOOD_AVOIDED_REVERSAL,0.03,0.96,14.0,498.0,4538.59,EXIT_GOOD_AVOIDED_REVERSAL,0.03,1.87,14.0,974.0,4544.97,EXIT_GOOD_AVOIDED_REVERSAL,0.03,2.35,14.0,1223.0,4543.06,EXIT_GOOD_AVOIDED_REVERSAL,0.03,2.35,14.0,1223.0,4538.1,EXIT_GOOD_AVOIDED_REVERSAL,0.66,2.35,345.0,1223.0,4545.72
6,CAMP-3,CORE,SELL,WIN,4538.7,True,EXIT_EARLY_LEFT_PROFIT,1.34,0.11,918.0,74.0,4539.41,EXIT_EARLY_LEFT_PROFIT,1.34,0.25,918.0,168.0,4539.19,EXIT_EARLY_LEFT_PROFIT,1.34,0.25,918.0,168.0,4535.69,EXIT_GOOD_AVOIDED_REVERSAL,1.34,2.2,918.0,1500.0,4549.81,EXIT_GOOD_AVOIDED_REVERSAL,1.34,4.35,918.0,2973.0,4555.52
8,CAMP-4,CORE,SELL,LOSS,4550.82,True,EXIT_GOOD_AVOIDED_REVERSAL,0.19,2.39,118.0,1498.0,4563.39,EXIT_GOOD_AVOIDED_REVERSAL,0.19,2.39,118.0,1498.0,4556.01,EXIT_GOOD_AVOIDED_REVERSAL,0.19,2.39,118.0,1498.0,4552.36,EXIT_GOOD_AVOIDED_REVERSAL,0.46,2.39,291.0,1498.0,4554.94,EXIT_GOOD_AVOIDED_REVERSAL,0.79,2.39,496.0,1498.0,4560.5
10,CAMP-5,CORE,SELL,LOSS,4572.62,True,EXIT_OK,0.45,0.26,160.0,94.0,4572.21,EXIT_OK,1.12,0.26,399.0,94.0,4564.82,EXIT_OK,1.12,0.36,399.0,128.0,4575.76,EXIT_OK,1.2,0.49,427.0,174.0,4568.1,EXIT_OK,1.2,0.83,427.0,296.0,4571.91
12,CAMP-6,CORE,BUY,WIN,4559.64,True,EXIT_GOOD_AVOIDED_REVERSAL,0.13,0.96,41.0,294.0,4553.15,EXIT_GOOD_AVOIDED_REVERSAL,0.13,0.96,41.0,294.0,4555.1,EXIT_GOOD_AVOIDED_REVERSAL,0.13,0.98,41.0,300.0,4552.02,EXIT_GOOD_AVOIDED_REVERSAL,0.13,1.49,41.0,457.0,4557.23,EXIT_GOOD_AVOIDED_REVERSAL,0.79,1.49,243.0,457.0,4566.59
14,CAMP-7,CORE,BUY,WIN,4566.95,True,EXIT_OK,0.72,0.0,162.0,0.0,4571.02,EXIT_OK,0.91,0.0,205.0,0.0,4572.19,EXIT_OK,1.05,0.0,238.0,0.0,4574.4,EXIT_OK,1.05,0.0,238.0,0.0,4571.9,EXIT_EARLY_LEFT_PROFIT,1.66,0.0,375.0,0.0,4577.95
15,CAMP-7,PYRAMID,BUY,WIN,4566.95,True,EXIT_OK,0.72,0.0,89.0,0.0,4571.02,EXIT_OK,0.91,0.0,113.0,0.0,4572.19,EXIT_OK,1.05,0.0,130.0,0.0,4574.4,EXIT_OK,1.05,0.0,130.0,0.0,4571.9,EXIT_EARLY_LEFT_PROFIT,1.66,0.0,206.0,0.0,4577.95
18,CAMP-8,CORE,SELL,WIN,4552.02,True,EXIT_OK,0.79,0.0,181.0,0.0,4547.51,EXIT_OK,1.13,0.0,259.0,0.0,4546.38,EXIT_OK,1.13,0.11,259.0,25.0,4548.81,EXIT_OK,1.13,0.15,259.0,34.0,4548.39,EXIT_OK,1.13,0.44,259.0,101.0,4549.23
19,CAMP-8,PYRAMID,SELL,WIN,4552.02,True,EXIT_OK,0.7,0.0,99.0,0.0,4547.51,EXIT_OK,1.0,0.0,142.0,0.0,4546.38,EXIT_OK,1.0,0.1,142.0,14.0,4548.81,EXIT_OK,1.0,0.13,142.0,19.0,4548.39,EXIT_OK,1.0,0.39,142.0,55.0,4549.23
22,CAMP-9,CORE,BUY,WIN,4542.49,True,EXIT_OK,0.52,0.22,303.0,126.0,4544.21,EXIT_EARLY_LEFT_PROFIT,1.32,0.22,766.0,126.0,4548.78,EXIT_EARLY_LEFT_PROFIT,1.73,0.22,1003.0,126.0,4550.38,EXIT_EARLY_LEFT_PROFIT,1.73,0.22,1003.0,126.0,4551.14,EXIT_EARLY_LEFT_PROFIT,1.93,0.22,1121.0,126.0,4548.3
24,CAMP-10,CORE,BUY,WIN,4553.77,True,EXIT_OK,0.22,0.89,75.0,306.0,4549.27,EXIT_GOOD_AVOIDED_REVERSAL,0.22,0.96,75.0,330.0,4549.19,EXIT_GOOD_AVOIDED_REVERSAL,0.22,1.19,75.0,410.0,4547.19,EXIT_GOOD_AVOIDED_REVERSAL,0.22,1.51,75.0,521.0,4543.51,EXIT_GOOD_AVOIDED_REVERSAL,0.76,1.67,263.0,577.0,4546.19
26,CAMP-11,CORE,BUY,LOSS,4537.27,True,EXIT_OK,0.36,0.09,210.0,50.0,4539.48,EXIT_OK,0.83,0.09,483.0,50.0,4542.74,EXIT_OK,0.83,0.09,483.0,50.0,4543.15,EXIT_EARLY_LEFT_PROFIT,1.23,0.09,711.0,50.0,4543.19,EXIT_EARLY_LEFT_PROFIT,1.23,0.12,711.0,67.0,4545.61
28,CAMP-12,CORE,BUY,LOSS,4519.84,True,EXIT_OK,0.96,0.7,224.0,162.0,4521.01,EXIT_OK,0.96,0.7,224.0,162.0,4521.55,EXIT_GOOD_AVOIDED_REVERSAL,0.96,1.48,224.0,345.0,4511.42,EXIT_GOOD_AVOIDED_REVERSAL,0.96,7.82,224.0,1816.0,4485.73,EXIT_GOOD_AVOIDED_REVERSAL,0.96,7.82,224.0,1816.0,4502.7
30,CAMP-13,CORE,SELL,WIN,4483.34,True,EXIT_OK,0.98,0.08,276.0,23.0,4477.15,EXIT_EARLY_LEFT_PROFIT,2.36,0.08,665.0,23.0,4469.77,EXIT_GOOD_AVOIDED_REVERSAL,2.36,2.82,665.0,797.0,4495.27,EXIT_GOOD_AVOIDED_REVERSAL,2.36,6.26,665.0,1769.0,4522.9,EXIT_GOOD_AVOIDED_REVERSAL,2.36,7.84,665.0,2214.0,4531.05
31,CAMP-13,PYRAMID,SELL,WIN,4483.34,True,EXIT_OK,0.92,0.08,155.0,13.0,4477.15,EXIT_EARLY_LEFT_PROFIT,2.22,0.08,373.0,13.0,4469.77,EXIT_GOOD_AVOIDED_REVERSAL,2.22,2.66,373.0,447.0,4495.27,EXIT_GOOD_AVOIDED_REVERSAL,2.22,5.91,373.0,992.0,4522.9,EXIT_GOOD_AVOIDED_REVERSAL,2.22,7.39,373.0,1242.0,4531.05
34,CAMP-14,CORE,BUY,WIN,4540.01,True,EXIT_OK,0.03,0.6,8.0,149.0,4539.65,EXIT_OK,0.41,0.74,101.0,184.0,4534.91,EXIT_OK,0.41,0.84,101.0,210.0,4534.84,EXIT_GOOD_AVOIDED_REVERSAL,0.41,1.65,101.0,410.0,4532.51,EXIT_GOOD_AVOIDED_REVERSAL,0.41,1.65,101.0,410.0,4533.9
35,CAMP-14,PYRAMID,BUY,WIN,4540.01,True,EXIT_OK,0.03,0.63,4.0,83.0,4539.65,EXIT_OK,0.43,0.78,56.0,103.0,4534.91,EXIT_OK,0.43,0.89,56.0,117.0,4534.84,EXIT_GOOD_AVOIDED_REVERSAL,0.43,1.73,56.0,229.0,4532.51,EXIT_GOOD_AVOIDED_REVERSAL,0.43,1.73,56.0,229.0,4533.9
38,CAMP-15,CORE,BUY,WIN,4516.66,True,EXIT_OK,0.1,0.21,30.0,65.0,4517.27,EXIT_OK,0.23,0.21,72.0,65.0,4516.24,EXIT_OK,0.23,0.21,72.0,65.0,4517.31,EXIT_OK,0.28,0.21,89.0,65.0,4517.64,EXIT_EARLY_LEFT_PROFIT,1.54,0.24,485.0,77.0,4524.61
40,CAMP-16,CORE,BUY,WIN,4527.49,True,EXIT_EARLY_LEFT_PROFIT,1.2,0.53,329.0,144.0,4536.77,EXIT_EARLY_LEFT_PROFIT,2.34,0.53,640.0,144.0,4546.31,EXIT_EARLY_LEFT_PROFIT,2.36,0.53,644.0,144.0,4537.09,EXIT_EARLY_LEFT_PROFIT,2.7,0.53,737.0,144.0,4545.65,EXIT_EARLY_LEFT_PROFIT,3.97,0.53,1083.0,144.0,4546.3
