position_id,campaign_id,leg_role,entry_source_path,direction,entry_time,entry_regime,frozen_owner_exit_profile,entry_price,original_sl,risk_distance,risk_usd,exit_time,exit_price,exit_authority,realized_profit_usd,realized_r_at_exit,peak_r_while_open,period_membership,total_favorable_r_at_5m,missed_r_5m,maximum_adverse_r_after_exit_5m,returned_to_entry_5m,crossed_original_sl_5m,path_classification_5m,observed_through_5m,total_favorable_r_at_10m,missed_r_10m,maximum_adverse_r_after_exit_10m,returned_to_entry_10m,crossed_original_sl_10m,path_classification_10m,observed_through_10m,total_favorable_r_at_15m,missed_r_15m,maximum_adverse_r_after_exit_15m,returned_to_entry_15m,crossed_original_sl_15m,path_classification_15m,observed_through_15m,total_favorable_r_at_20m,missed_r_20m,maximum_adverse_r_after_exit_20m,returned_to_entry_20m,crossed_original_sl_20m,path_classification_20m,observed_through_20m,total_favorable_r_at_30m,missed_r_30m,maximum_adverse_r_after_exit_30m,returned_to_entry_30m,crossed_original_sl_30m,path_classification_30m,observed_through_30m,total_favorable_r_at_60m,missed_r_60m,maximum_adverse_r_after_exit_60m,returned_to_entry_60m,crossed_original_sl_60m,path_classification_60m,observed_through_60m,clean_continuation_or_immediate_reversal
2,CAMP-1,CORE,FRESH,BUY,2026.04.20 02:03:00,TREND_UP,TREND_UP,4778.88,4751.49159,27.38841,985.98,2026.04.20 02:43:13,4749.32,BROKER_SL,-1064.16,-1.079289,0.001826,FULL_90_DAYS+FIRST_60_DAYS,-0.577252,0.502037,0.452381,True,True,IMMEDIATE_REVERSAL,2026.04.20 02:48:13,-0.577252,0.502037,0.452381,True,True,IMMEDIATE_REVERSAL,2026.04.20 02:53:13,-0.577252,0.502037,0.452381,True,True,IMMEDIATE_REVERSAL,2026.04.20 02:58:13,-0.577252,0.502037,0.452381,True,True,IMMEDIATE_REVERSAL,2026.04.20 03:03:13,-0.577252,0.502037,0.452381,True,True,IMMEDIATE_REVERSAL,2026.04.20 03:13:13,-0.392502,0.686787,0.452381,True,True,IMMEDIATE_REVERSAL,2026.04.20 03:43:13,IMMEDIATE_REVERSAL
4,CAMP-2,CORE,FRESH,BUY,2026.04.20 04:33:30,TREND_DN,GENERAL,4809.61,4747.40024,62.20976,870.94,2026.04.20 16:33:00,4818.68,PROFIT_CLOSE,126.98,0.145797,0.268125,FULL_90_DAYS+FIRST_60_DAYS,0.254944,0.109147,0.037775,False,False,CLEAN_CONTINUATION,2026.04.20 16:38:00,0.254944,0.109147,0.042116,False,False,CLEAN_CONTINUATION,2026.04.20 16:43:00,0.254944,0.109147,0.042116,False,False,CLEAN_CONTINUATION,2026.04.20 16:48:00,0.254944,0.109147,0.042116,False,False,CLEAN_CONTINUATION,2026.04.20 16:53:00,0.254944,0.109147,0.109629,False,False,CLEAN_CONTINUATION,2026.04.20 17:03:00,0.289344,0.143547,0.187591,True,False,CLEAN_CONTINUATION,2026.04.20 17:33:00,CLEAN_CONTINUATION
6,CAMP-3,CORE,FRESH,SELL,2026.04.20 17:03:30,TREND_DN,GENERAL,4814.04,4830.49346,16.45346,904.94,2026.04.20 17:12:43,4809.1,SL_MOD:PRIMARY_EXIT_FLOOR,271.7,0.30024,0.4066,FULL_90_DAYS+FIRST_60_DAYS,0.418148,0.117908,0.543959,True,False,CLEAN_CONTINUATION,2026.04.20 17:17:43,0.418148,0.117908,0.802871,True,False,CLEAN_CONTINUATION,2026.04.20 17:22:43,0.418148,0.117908,1.092172,True,False,CLEAN_CONTINUATION,2026.04.20 17:27:43,0.418148,0.117908,1.136539,True,False,CLEAN_CONTINUATION,2026.04.20 17:32:43,0.418148,0.117908,1.136539,True,False,CLEAN_CONTINUATION,2026.04.20 17:42:43,1.296991,0.996751,1.136539,True,False,CLEAN_CONTINUATION,2026.04.20 18:12:43,CLEAN_CONTINUATION
8,CAMP-4,CORE,FRESH,BUY,2026.04.22 01:33:00,TREND_DN,GENERAL,4718.94,4655.77847,63.16153,884.26,2026.04.22 02:19:52,4731.23,PROFIT_CLOSE,172.06,0.194581,0.222762,FULL_90_DAYS+FIRST_60_DAYS,0.219437,0.024857,0.012508,False,False,NO_DECISIVE_0.10R_MOVE,2026.04.22 02:24:52,0.225137,0.030557,0.017891,False,False,NO_DECISIVE_0.10R_MOVE,2026.04.22 02:29:52,0.23052,0.03594,0.028182,False,False,NO_DECISIVE_0.10R_MOVE,2026.04.22 02:34:52,0.23622,0.041639,0.036098,False,False,NO_DECISIVE_0.10R_MOVE,2026.04.22 02:39:51,0.309207,0.114627,0.036098,False,False,CLEAN_CONTINUATION,2026.04.22 02:49:52,0.451699,0.257119,0.036098,False,False,CLEAN_CONTINUATION,2026.04.22 03:19:52,CLEAN_CONTINUATION
9,CAMP-4,PYRAMID,PYRAMID,BUY,2026.04.22 02:18:26,TREND_DN,GENERAL,4729.33,4710.60829,18.72171,917.36,2026.04.22 02:19:52,4731.23,PROFIT_CLOSE,93.1,0.101487,0.196563,FULL_90_DAYS+FIRST_60_DAYS,0.185346,0.08386,0.042197,False,False,NO_DECISIVE_0.10R_MOVE,2026.04.22 02:24:52,0.204575,0.103089,0.060358,False,False,CLEAN_CONTINUATION,2026.04.22 02:29:52,0.222736,0.12125,0.095077,False,False,CLEAN_CONTINUATION,2026.04.22 02:34:52,0.241965,0.140479,0.121784,True,False,CLEAN_CONTINUATION,2026.04.22 02:39:51,0.488203,0.386717,0.121784,True,False,CLEAN_CONTINUATION,2026.04.22 02:49:52,0.968928,0.867442,0.121784,True,False,CLEAN_CONTINUATION,2026.04.22 03:19:52,CLEAN_CONTINUATION
12,CAMP-5,CORE,FRESH,BUY,2026.04.22 02:33:30,TREND_DN,GENERAL,4732.76,4710.03119,22.72881,954.61,2026.04.22 03:04:37,4743.14,SL_MOD:PRIMARY_EXIT_FLOOR,435.96,0.456689,0.556123,FULL_90_DAYS+FIRST_60_DAYS,0.607159,0.15047,0.098553,False,False,CLEAN_CONTINUATION,2026.04.22 03:09:37,0.647196,0.190507,0.098553,False,False,CLEAN_CONTINUATION,2026.04.22 03:14:37,0.647196,0.190507,0.098553,False,False,CLEAN_CONTINUATION,2026.04.22 03:19:37,0.647196,0.190507,0.098553,False,False,CLEAN_CONTINUATION,2026.04.22 03:24:37,0.647196,0.190507,0.110433,False,False,CLEAN_CONTINUATION,2026.04.22 03:34:37,0.647196,0.190507,0.238024,False,False,CLEAN_CONTINUATION,2026.04.22 04:04:37,CLEAN_CONTINUATION
13,CAMP-5,PYRAMID,PYRAMID,BUY,2026.04.22 03:01:13,TREND_DN,GENERAL,4742.21,4724.38614,17.82386,944.67,2026.04.22 03:04:37,4743.14,PROFIT_CLOSE,49.29,0.052177,0.178973,FULL_90_DAYS+FIRST_60_DAYS,0.244055,0.191878,0.125674,True,False,CLEAN_CONTINUATION,2026.04.22 03:09:37,0.29511,0.242933,0.125674,True,False,CLEAN_CONTINUATION,2026.04.22 03:14:37,0.29511,0.242933,0.125674,True,False,CLEAN_CONTINUATION,2026.04.22 03:19:37,0.29511,0.242933,0.125674,True,False,CLEAN_CONTINUATION,2026.04.22 03:24:37,0.29511,0.242933,0.140822,True,False,CLEAN_CONTINUATION,2026.04.22 03:34:37,0.29511,0.242933,0.303526,True,False,CLEAN_CONTINUATION,2026.04.22 04:04:37,CLEAN_CONTINUATION
16,CAMP-6,CORE,FRESH,BUY,2026.04.22 03:33:00,TREND_DN,GENERAL,4746.45,4724.46296,21.98704,989.41,2026.04.22 04:31:52,4748.91,PROFIT_CLOSE,110.7,0.111884,0.168281,FULL_90_DAYS+FIRST_60_DAYS,0.20876,0.096875,0.070496,False,False,NO_DECISIVE_0.10R_MOVE,2026.04.22 04:36:52,0.338381,0.226497,0.070496,False,False,CLEAN_CONTINUATION,2026.04.22 04:41:52,0.338381,0.226497,0.070496,False,False,CLEAN_CONTINUATION,2026.04.22 04:46:52,0.355209,0.243325,0.070496,False,False,CLEAN_CONTINUATION,2026.04.22 04:51:52,0.373857,0.261972,0.070496,False,False,CLEAN_CONTINUATION,2026.04.22 05:01:52,0.530767,0.418883,0.070496,False,False,CLEAN_CONTINUATION,2026.04.22 05:31:52,CLEAN_CONTINUATION
17,CAMP-6,PYRAMID,PYRAMID,BUY,2026.04.22 04:24:53,TREND_DN,GENERAL,4746.41,4732.67904,13.73096,1002.36,2026.04.22 04:31:52,4748.91,PROFIT_CLOSE,182.5,0.18207,0.272376,FULL_90_DAYS+FIRST_60_DAYS,0.337194,0.155124,0.112884,False,False,IMMEDIATE_REVERSAL,2026.04.22 04:36:52,0.544754,0.362684,0.112884,False,False,IMMEDIATE_REVERSAL,2026.04.22 04:41:52,0.544754,0.362684,0.112884,False,False,IMMEDIATE_REVERSAL,2026.04.22 04:46:52,0.5717,0.389631,0.112884,False,False,IMMEDIATE_REVERSAL,2026.04.22 04:51:52,0.60156,0.41949,0.112884,False,False,IMMEDIATE_REVERSAL,2026.04.22 05:01:52,0.852817,0.670747,0.112884,False,False,IMMEDIATE_REVERSAL,2026.04.22 05:31:52,IMMEDIATE_REVERSAL
20,CAMP-7,CORE,FRESH,SELL,2026.04.22 08:03:00,TREND_DN,GENERAL,4752.96,4761.71049,8.75049,1032.56,2026.04.22 08:16:15,4761.8,BROKER_SL,-1043.12,-1.010228,0.063996,FULL_90_DAYS+FIRST_60_DAYS,-0.913091,0.097137,1.102796,True,True,IMMEDIATE_REVERSAL,2026.04.22 08:21:15,-0.913091,0.097137,1.150793,True,True,IMMEDIATE_REVERSAL,2026.04.22 08:26:15,-0.913091,0.097137,1.150793,True,True,IMMEDIATE_REVERSAL,2026.04.22 08:31:15,-0.913091,0.097137,1.150793,True,True,IMMEDIATE_REVERSAL,2026.04.22 08:36:15,-0.913091,0.097137,1.150793,True,True,IMMEDIATE_REVERSAL,2026.04.22 08:46:15,-0.699388,0.31084,1.195362,True,True,IMMEDIATE_REVERSAL,2026.04.22 09:16:15,IMMEDIATE_REVERSAL
