period,dimension,value,trades,avg_realized_r,avg_peak_r_while_open,trades_with_5m_data,historical_data_unavailable_5m,avg_total_favorable_r_5m,avg_missed_r_5m,median_missed_r_5m,total_missed_r_5m,avg_max_adverse_r_5m,returned_to_entry_count_5m,crossed_original_sl_count_5m,clean_continuation_count_5m,immediate_reversal_count_5m,trades_with_10m_data,historical_data_unavailable_10m,avg_total_favorable_r_10m,avg_missed_r_10m,median_missed_r_10m,total_missed_r_10m,avg_max_adverse_r_10m,returned_to_entry_count_10m,crossed_original_sl_count_10m,clean_continuation_count_10m,immediate_reversal_count_10m,trades_with_15m_data,historical_data_unavailable_15m,avg_total_favorable_r_15m,avg_missed_r_15m,median_missed_r_15m,total_missed_r_15m,avg_max_adverse_r_15m,returned_to_entry_count_15m,crossed_original_sl_count_15m,clean_continuation_count_15m,immediate_reversal_count_15m,trades_with_20m_data,historical_data_unavailable_20m,avg_total_favorable_r_20m,avg_missed_r_20m,median_missed_r_20m,total_missed_r_20m,avg_max_adverse_r_20m,returned_to_entry_count_20m,crossed_original_sl_count_20m,clean_continuation_count_20m,immediate_reversal_count_20m,trades_with_30m_data,historical_data_unavailable_30m,avg_total_favorable_r_30m,avg_missed_r_30m,median_missed_r_30m,total_missed_r_30m,avg_max_adverse_r_30m,returned_to_entry_count_30m,crossed_original_sl_count_30m,clean_continuation_count_30m,immediate_reversal_count_30m,trades_with_60m_data,historical_data_unavailable_60m,avg_total_favorable_r_60m,avg_missed_r_60m,median_missed_r_60m,total_missed_r_60m,avg_max_adverse_r_60m,returned_to_entry_count_60m,crossed_original_sl_count_60m,clean_continuation_count_60m,immediate_reversal_count_60m
FIRST_60_DAYS,exit_authority,BROKER_SL,24,-1.011239,0.119329,24,0,-0.800006,0.211233,0.195543,5.069599,0.260651,24,24,14,10,24,0,-0.6875,0.323739,0.262063,7.769731,0.292372,24,24,14,10,24,0,-0.660397,0.350841,0.391936,8.420194,0.321786,24,24,14,10,24,0,-0.649392,0.361847,0.391936,8.684319,0.369559,24,24,14,10,24,0,-0.587095,0.424143,0.442727,10.179443,0.495517,24,24,14,10,24,0,-0.501994,0.509244,0.453873,12.221864,0.651968,24,24,14,10
FIRST_60_DAYS,exit_authority,PROFIT_CLOSE,66,0.208914,0.336843,66,0,0.384707,0.175793,0.10608,11.602335,0.157282,19,0,28,30,66,0,0.431189,0.222276,0.165413,14.670199,0.195032,22,0,31,32,66,0,0.453003,0.244089,0.189353,16.109881,0.252904,27,2,31,33,66,0,0.477273,0.268359,0.213372,17.711694,0.326248,33,4,31,34,66,0,0.529311,0.320397,0.263041,21.146229,0.425177,37,6,32,34,66,0,0.702161,0.493247,0.347144,32.554315,0.624882,43,10,32,34
FIRST_60_DAYS,exit_authority,SL_MOD:PRIMARY_EXIT_FLOOR,29,0.406086,0.515848,29,0,0.553266,0.14718,0.123995,4.268216,0.281576,8,0,16,12,29,0,0.654152,0.248066,0.155925,7.193917,0.357013,10,0,17,12,29,0,0.74359,0.337505,0.236576,9.787636,0.424386,14,1,17,12,29,0,0.794972,0.388886,0.269259,11.277706,0.482931,15,2,17,12,29,0,0.8468,0.440714,0.360298,12.780703,0.598544,17,3,17,12,29,0,1.056333,0.650247,0.681692,18.857159,0.783777,19,5,17,12
FIRST_60_DAYS,exit_authority,WEEKEND_CLOSE,1,-0.285236,0.187298,1,0,-0.285236,0.0,0.0,0.0,0.0,0,0,0,0,1,0,-0.285236,0.0,0.0,0.0,0.0,0,0,0,0,1,0,-0.285236,0.0,0.0,0.0,0.0,0,0,0,0,1,0,-0.285236,0.0,0.0,0.0,0.0,0,0,0,0,1,0,-0.285236,0.0,0.0,0.0,0.0,0,0,0,0,1,0,-0.285236,0.0,0.0,0.0,0.0,0,0,0,0
LATEST_30_DAYS,exit_authority,BROKER_SL,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,exit_authority,PROFIT_CLOSE,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,exit_authority,SL_MOD:PRIMARY_EXIT_FLOOR,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,exit_authority,WEEKEND_CLOSE,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FULL_90_DAYS,exit_authority,BROKER_SL,24,-1.011239,0.119329,24,0,-0.800006,0.211233,0.195543,5.069599,0.260651,24,24,14,10,24,0,-0.6875,0.323739,0.262063,7.769731,0.292372,24,24,14,10,24,0,-0.660397,0.350841,0.391936,8.420194,0.321786,24,24,14,10,24,0,-0.649392,0.361847,0.391936,8.684319,0.369559,24,24,14,10,24,0,-0.587095,0.424143,0.442727,10.179443,0.495517,24,24,14,10,24,0,-0.501994,0.509244,0.453873,12.221864,0.651968,24,24,14,10
FULL_90_DAYS,exit_authority,PROFIT_CLOSE,66,0.208914,0.336843,66,0,0.384707,0.175793,0.10608,11.602335,0.157282,19,0,28,30,66,0,0.431189,0.222276,0.165413,14.670199,0.195032,22,0,31,32,66,0,0.453003,0.244089,0.189353,16.109881,0.252904,27,2,31,33,66,0,0.477273,0.268359,0.213372,17.711694,0.326248,33,4,31,34,66,0,0.529311,0.320397,0.263041,21.146229,0.425177,37,6,32,34,66,0,0.702161,0.493247,0.347144,32.554315,0.624882,43,10,32,34
