period,dimension,value,trades,avg_realized_r,avg_peak_r_while_open,trades_with_5m_data,historical_data_unavailable_5m,avg_total_favorable_r_5m,avg_missed_r_5m,median_missed_r_5m,total_missed_r_5m,avg_max_adverse_r_5m,returned_to_entry_count_5m,crossed_original_sl_count_5m,clean_continuation_count_5m,immediate_reversal_count_5m,trades_with_10m_data,historical_data_unavailable_10m,avg_total_favorable_r_10m,avg_missed_r_10m,median_missed_r_10m,total_missed_r_10m,avg_max_adverse_r_10m,returned_to_entry_count_10m,crossed_original_sl_count_10m,clean_continuation_count_10m,immediate_reversal_count_10m,trades_with_15m_data,historical_data_unavailable_15m,avg_total_favorable_r_15m,avg_missed_r_15m,median_missed_r_15m,total_missed_r_15m,avg_max_adverse_r_15m,returned_to_entry_count_15m,crossed_original_sl_count_15m,clean_continuation_count_15m,immediate_reversal_count_15m,trades_with_20m_data,historical_data_unavailable_20m,avg_total_favorable_r_20m,avg_missed_r_20m,median_missed_r_20m,total_missed_r_20m,avg_max_adverse_r_20m,returned_to_entry_count_20m,crossed_original_sl_count_20m,clean_continuation_count_20m,immediate_reversal_count_20m,trades_with_30m_data,historical_data_unavailable_30m,avg_total_favorable_r_30m,avg_missed_r_30m,median_missed_r_30m,total_missed_r_30m,avg_max_adverse_r_30m,returned_to_entry_count_30m,crossed_original_sl_count_30m,clean_continuation_count_30m,immediate_reversal_count_30m,trades_with_60m_data,historical_data_unavailable_60m,avg_total_favorable_r_60m,avg_missed_r_60m,median_missed_r_60m,total_missed_r_60m,avg_max_adverse_r_60m,returned_to_entry_count_60m,crossed_original_sl_count_60m,clean_continuation_count_60m,immediate_reversal_count_60m
FIRST_60_DAYS,entry_regime,CHOPPY,4,0.27404,0.361585,4,0,0.30552,0.031481,0.018736,0.125924,0.544115,3,0,0,4,4,0,0.30552,0.031481,0.018736,0.125924,0.623522,3,0,0,4,4,0,0.30552,0.031481,0.018736,0.125924,0.819706,4,1,0,4,4,0,0.329663,0.055623,0.059591,0.222492,0.969597,4,2,0,4,4,0,0.352277,0.078237,0.086092,0.312949,1.064841,4,2,0,4,4,0,0.591863,0.317823,0.334323,1.271292,1.320514,4,2,0,4
FIRST_60_DAYS,entry_regime,RANGING,2,0.194494,0.576564,2,0,0.206424,0.011929,0.011929,0.023858,0.183357,0,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.288069,0,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.399408,1,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.47982,1,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.87702,1,1,0,1,2,0,0.206424,0.011929,0.011929,0.023858,1.394396,1,1,0,1
FIRST_60_DAYS,entry_regime,TREND_DN,78,-0.016887,0.32866,78,0,0.157325,0.174212,0.123487,13.588546,0.218563,35,18,37,35,78,0,0.247126,0.264013,0.193099,20.593031,0.267072,37,18,41,35,78,0,0.290834,0.307721,0.219631,24.002253,0.308354,41,19,41,36,78,0,0.319305,0.336192,0.243129,26.222961,0.355032,44,21,41,36,78,0,0.387424,0.404311,0.326445,31.53627,0.449269,49,22,42,36,78,0,0.592974,0.609861,0.461534,47.569154,0.645032,54,27,42,36
FIRST_60_DAYS,entry_regime,TREND_UP,36,0.023386,0.333544,36,0,0.223436,0.200051,0.14673,7.201822,0.144746,13,6,21,12,36,0,0.270359,0.246973,0.2074,8.891034,0.176128,16,6,21,14,36,0,0.305766,0.28238,0.246395,10.165676,0.238678,19,7,21,14,36,0,0.334619,0.311234,0.283658,11.204408,0.329897,23,7,21,15,36,0,0.3632,0.339814,0.300168,12.233298,0.451542,24,8,21,15,36,0,0.433637,0.410251,0.371726,14.769034,0.589879,27,9,21,15
LATEST_30_DAYS,entry_regime,CHOPPY,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,entry_regime,RANGING,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,entry_regime,TREND_DN,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,entry_regime,TREND_UP,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FULL_90_DAYS,entry_regime,CHOPPY,4,0.27404,0.361585,4,0,0.30552,0.031481,0.018736,0.125924,0.544115,3,0,0,4,4,0,0.30552,0.031481,0.018736,0.125924,0.623522,3,0,0,4,4,0,0.30552,0.031481,0.018736,0.125924,0.819706,4,1,0,4,4,0,0.329663,0.055623,0.059591,0.222492,0.969597,4,2,0,4,4,0,0.352277,0.078237,0.086092,0.312949,1.064841,4,2,0,4,4,0,0.591863,0.317823,0.334323,1.271292,1.320514,4,2,0,4
FULL_90_DAYS,entry_regime,RANGING,2,0.194494,0.576564,2,0,0.206424,0.011929,0.011929,0.023858,0.183357,0,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.288069,0,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.399408,1,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.47982,1,0,0,1,2,0,0.206424,0.011929,0.011929,0.023858,0.87702,1,1,0,1,2,0,0.206424,0.011929,0.011929,0.023858,1.394396,1,1,0,1
