action,mode,regime,trade_opened,ts
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_UP,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
SKIP_APPROVED_SIGNAL,BLOCK,BRKT_DN,false,
